kfl00001_0820 AT3G17840
kfl00696_0080 AT2G45530
kfl00700_0030 AT3G28700
kfl00701_0040 AT3G56140
kfl00706_0060 AT5G06110
kfl00707_0020 AT3G57480
kfl00720_0030 AT1G23860
kfl00730_0080 AT4G15475
kfl00756_0040 AT1G34220
kfl00774_0070 AT5G53180
kfl00775_0030 AT4G11680
kfl00782_0030 AT5G63650
kfl00791_0030 AT5G24120
kfl00807_0060 AT1G10520
kfl00820_0060 AT3G07810
kfl00826_0040 AT1G70680
kfl00832_0060 AT1G53670
kfl00839_0030 AT5G04590
kfl00839_0040 AT5G49120
kfl00861_0010 AT5G53560
kfl00862_0040 AT4G16780
kfl00873_0030 AT5G50210
kfl00876_0020 AT2G22120
kfl00877_0020 AT1G19740
kfl00882_0020 AT5G03840
kfl00886_0030 AT3G52370
kfl00887_0040 AT1G06790
kfl00888_0040 AT3G54700
kfl00889_0040 AT5G09870
kfl00895_0010 AT4G25730
kfl00903_0020 AT1G36730
kfl00933_0020 AT3G44880
kfl00947_0030 AT4G01560
kfl00992_0030 AT5G13810
kfl00993_0010 AT5G64200
kfl01007_0030 AT3G02200
kfl01055_0020 AT1G10390
kfl01057_0030 AT1G20630
kfl01087_0020 AT1G53210
kfl01175_0030 AT1G08380
kfl01289_0020 AT5G38510
