kfl00001_0330 Cre13.g591350
kfl00032_0190 Cre06.g306550
kfl00032_0420 Cre10.g448450
kfl00033_0050 Cre02.g117150
kfl00033_0310 Cre07.g316850
kfl00034_0180 Cre02.g099500
kfl00034_0260 Cre02.g144550
kfl00035_0180 Cre07.g326800
kfl00037_0200 Cre16.g673953
kfl00037_0260 Cre02.g116450
kfl00038_0210 Cre01.g022000
kfl00038_0330 Cre11.g467770
kfl00039_0280 Cre16.g664801
kfl00039_0290 Cre03.g189000
kfl00040_0060 Cre04.g217912
kfl00041_0190 Cre06.g261450
kfl00043_0150 Cre17.g715900
kfl00044_0010 Cre12.g556450
kfl00044_0130 Cre16.g692650
kfl00044_0280 Cre12.g549300
kfl00044_0360 Cre05.g244900
kfl00044_0400 Cre06.g251400
kfl00044_0410 Cre10.g435800
kfl00045_0010 Cre16.g678150
kfl00046_0020 Cre03.g206800
kfl00046_0160 Cre14.g627350
kfl00048_0230 Cre03.g207713
kfl00048_0350 Cre03.g146627
kfl00048_0430 Cre01.g044700
kfl00048_0490 Cre08.g365632
kfl00049_g19 Cre12.g518650
kfl00049_0300 Cre13.g578750
kfl00049_0370 Cre03.g194300
kfl00051_0070 Cre14.g621850
kfl00051_0100 Cre10.g429300
kfl00052_0070 Cre12.g545101
kfl00053_0020 Cre12.g517500
kfl00053_0250 Cre13.g569250
kfl00053_0270 Cre02.g116000
kfl00054_0120 Cre03.g197400
kfl00054_0200 Cre01.g068377
kfl00054_0350 Cre03.g195200
kfl00054_0390 Cre01.g008450
kfl00056_0190 Cre04.g230242
kfl00057_0110 Cre11.g468450
kfl00057_0160 Cre06.g290150
kfl00057_0180 Cre10.g420350
kfl00057_0520 Cre09.g396139
kfl00059_0050 Cre01.g039400
kfl00059_0200 Cre11.g481050
kfl00060_0080 Cre04.g216650
kfl00061_0280 Cre03.g179961
kfl00061_0400 Cre03.g178700
kfl00063_0050 Cre12.g531500
kfl00063_0150 Cre17.g719050
kfl00063_0180 Cre12.g550152
kfl00063_0240 Cre10.g453350
kfl00064_0070 Cre16.g695500
kfl00064_0090 Cre09.g401022
kfl00064_0100 Cre12.g549300
kfl00064_0130 Cre06.g306550
kfl00065_0170 Cre08.g364650
kfl00065_0250 Cre03.g154550
kfl00065_0290 Cre02.g094900
kfl00066_0110 Cre09.g405800
kfl00068_0030 Cre01.g002400
kfl00068_0270 Cre03.g176350
kfl00069_0150 Cre12.g559350
kfl00071_0130 Cre06.g278117
kfl00072_0060 Cre03.g163850
kfl00073_0180 Cre01.g026250
kfl00073_0250 Cre12.g549500
kfl00075_0310 Cre12.g515850
kfl00078_0250 Cre06.g280800
kfl00079_0180 Cre12.g494450
kfl00079_0310 Cre02.g075100
kfl00080_0200 Cre06.g289750
kfl00082_0120 Cre06.g259200
kfl00082_0170 Cre02.g113050
kfl00084_0170 Cre02.g102300
kfl00084_0180 Cre04.g233302
kfl00085_0200 Cre01.g043300
kfl00085_0210 Cre08.g362450
kfl00086_0280 Cre12.g538100
kfl00089_0180 Cre03.g178150
kfl00090_0290 Cre03.g206800
kfl00092_0200 Cre01.g038950
kfl00092_0210 Cre03.g185550
kfl00093_0260 Cre07.g329300
kfl00093_0280 Cre09.g387800
kfl00093_0320 Cre02.g120150
kfl00094_0060 Cre12.g550400
kfl00094_0240 Cre01.g007300
kfl00095_0030 Cre02.g110250
kfl00096_0040 Cre01.g028150
kfl00097_0220 Cre06.g287000
kfl00098_0050 Cre14.g612000
kfl00098_0080 Cre01.g066917
kfl00098_0090 Cre01.g066917
kfl00100_0310 Cre01.g010900
kfl00101_0140 Cre16.g678200
kfl00101_0240 Cre17.g717300
kfl00104_0050 Cre12.g557900
kfl00104_0080 Cre12.g559050
kfl00104_0360 Cre04.g230830
kfl00105_0140 Cre13.g586400
kfl00108_0060 Cre04.g231418
kfl00108_0080 Cre01.g007774
kfl00109_0010 Cre10.g454550
kfl00109_0080 Cre11.g467524
kfl00109_0160 Cre16.g669650
kfl00110_0050 Cre09.g386912
kfl00110_0160 Cre12.g489700
kfl00110_0320 Cre14.g613700
kfl00112_0070 Cre03.g207900
kfl00113_0300 Cre06.g278850
kfl00116_0080 Cre17.g710200
kfl00117_0060 Cre02.g120150
kfl00117_0210 Cre06.g259900
kfl00118_0140 Cre12.g552200
kfl00119_0110 Cre11.g467690
kfl00121_0140 Cre05.g232550
kfl00121_0170 Cre12.g556911
kfl00125_0100 Cre03.g207150
kfl00126_0050 Cre11.g467770
kfl00127_0170 Cre08.g358555
kfl00128_0230 Cre03.g177500
kfl00129_0250 Cre09.g405400
kfl00132_0180 Cre12.g484350
kfl00133_0030 Cre07.g315150
kfl00135_0100 Cre07.g312350
kfl00136_0150 Cre01.g020223
kfl00138_0010 Cre13.g585750
kfl00139_0050 Cre14.g614250
kfl00139_0140 Cre06.g262050
kfl00140_0130 Cre01.g025900
kfl00141_0120 Cre12.g486250
kfl00141_0280 Cre01.g010900
kfl00142_0080 Cre12.g508150
kfl00144_0010 Cre12.g499650
kfl00144_0020 Cre01.g010550
kfl00144_0040 Cre09.g416550
kfl00145_0170 Cre07.g324550
kfl00151_0050 Cre06.g279350
kfl00151_0090 Cre12.g557250
kfl00151_0140 Cre13.g584850
kfl00151_0180 Cre12.g511250
kfl00151_0300 Cre03.g182800
kfl00158_0010 Cre03.g171550
kfl00158_0100 Cre08.g365800
kfl00159_0160 Cre02.g095148
kfl00160_0010 Cre02.g106400
kfl00160_0150 Cre10.g428900
kfl00161_0080 Cre07.g320450
kfl00161_0150 Cre09.g388245
kfl00162_0220 Cre02.g101550
kfl00163_0170 Cre06.g248950
kfl00164_0080 Cre07.g356600
kfl00165_0140 Cre07.g355200
kfl00167_0040 Cre09.g387875
kfl00168_0120 Cre12.g500150
kfl00169_0050 Cre11.g476750
kfl00169_0190 Cre02.g108550
kfl00169_0200 Cre04.g226150
kfl00177_0110 Cre17.g739150
kfl00177_0170 Cre17.g730250
kfl00177_0260 Cre16.g665250
kfl00179_0260 Cre07.g355466
kfl00179_0280 Cre11.g482850
kfl00181_0080 Cre06.g280100
kfl00183_0080 Cre16.g691750
kfl00184_0010 Cre01.g023150
kfl00184_0110 Cre16.g681500
kfl00185_0060 Cre10.g448950
kfl00185_0240 Cre01.g010550
kfl00188_0210 Cre01.g050550
kfl00189_0020 Cre01.g039500
kfl00189_0080 Cre17.g715300
kfl00189_0090 Cre04.g226150
kfl00190_0100 Cre02.g092350
kfl00190_0160 Cre06.g278198
kfl00192_0200 Cre16.g694800
kfl00193_0150 Cre05.g238332
kfl00194_0030 Cre06.g284500
kfl00196_0120 Cre16.g657800
kfl00199_0060 Cre16.g656700
kfl00202_0070 Cre09.g410750
kfl00203_0160 Cre04.g219750
kfl00207_0040 Cre13.g592050
kfl00207_0130 Cre16.g656650
kfl00208_0140 Cre02.g080200
kfl00209_0130 Cre02.g142266
kfl00213_0040 Cre09.g412100
kfl00217_0160 Cre16.g659800
kfl00218_0130 Cre06.g250200
kfl00220_0060 Cre13.g563650
kfl00222_0130 Cre04.g214502
kfl00224_0020 Cre11.g467755
kfl00224_0040 Cre01.g002050
kfl00226_0160 Cre06.g283300
kfl00229_0010 Cre12.g505350
kfl00231_0120 Cre02.g142000
kfl00232_0220 Cre01.g016850
kfl00233_0060 Cre12.g538100
kfl00236_g5 Cre01.g040379
kfl00239_0100 Cre03.g171050
kfl00239_0120 Cre12.g550850
kfl00240_0020 Cre09.g394850
kfl00244_0100 Cre12.g536600
kfl00247_0040 Cre12.g486551
kfl00248_0070 Cre02.g095097
kfl00251_0160 Cre01.g007737
kfl00254_0050 Cre07.g357800
kfl00255_0160 Cre17.g707300
kfl00255_0190 Cre12.g514400
kfl00256_0130 Cre06.g292950
kfl00258_0090 Cre07.g321700
kfl00259_0040 Cre01.g027800
kfl00260_0080 Cre08.g376900
kfl00260_0160 Cre16.g678200
kfl00261_0070 Cre04.g229000
kfl00261_0090 Cre03.g196000
kfl00264_0080 Cre13.g580300
kfl00264_0160 Cre11.g478700
kfl00268_0190 Cre01.g034050
kfl00269_0020 Cre07.g330250
kfl00271_0070 Cre17.g733250
kfl00271_0080 Cre01.g029450
kfl00272_0060 Cre07.g323600
kfl00272_0110 Cre06.g278183
kfl00272_0150 Cre17.g742500
kfl00273_0020 Cre12.g509250
kfl00274_0010 Cre12.g502950
kfl00275_0010 Cre12.g542350
kfl00280_0020 Cre17.g710800
kfl00280_0170 Cre02.g107800
kfl00281_0060 Cre09.g387615
kfl00282_0150 Cre13.g567100
kfl00283_0030 Cre08.g368350
kfl00283_0040 Cre03.g145567
kfl00283_0090 Cre07.g334550
kfl00284_0050 Cre17.g726150
kfl00286_0090 Cre01.g028423
kfl00289_0100 Cre12.g500400
kfl00291_0160 Cre02.g095069
kfl00294_0010 Cre03.g180300
kfl00294_0060 Cre04.g216300
kfl00294_0090 Cre12.g530550
kfl00295_0110 Cre13.g570550
kfl00302_0070 Cre06.g269050
kfl00304_0125 Cre17.g741150
kfl00304_0130 Cre12.g532050
kfl00307_0140 Cre09.g414800
kfl00310_0020 Cre01.g051550
kfl00312_0090 Cre06.g278263
kfl00318_0030 Cre09.g393250
kfl00320_0040 Cre12.g497650
kfl00326_0090 Cre10.g467200
kfl00326_0140 Cre08.g358568
kfl00329_0100 Cre09.g417350
kfl00338_0010 Cre09.g409801
kfl00339_0120 Cre07.g321200
kfl00345_0070 Cre10.g418700
kfl00345_0170 Cre03.g195600
kfl00346_0020 Cre16.g694800
kfl00348_0030 Cre10.g444500
kfl00356_0110 Cre08.g358525
kfl00357_0110 Cre14.g621751
kfl00358_0030 Cre12.g520350
kfl00358_0120 Cre01.g016600
kfl00358_0190 Cre16.g675637
kfl00364_0070 Cre03.g164050
kfl00371_0020 Cre02.g112000
kfl00371_0100 Cre01.g019250
kfl00371_0150 Cre09.g386732
kfl00378_0050 Cre16.g675350
kfl00381_0040 Cre12.g490150
kfl00382_0050 Cre01.g044700
kfl00383_0110 Cre16.g679300
kfl00390_0040 Cre06.g290500
kfl00392_0090 Cre08.g367800
kfl00396_0090 Cre17.g698650
kfl00403_0050 Cre01.g006950
kfl00404_0100 Cre09.g417150
kfl00407_0050 Cre12.g502901
kfl00407_0090 Cre09.g394065
kfl00411_0100 Cre12.g493400
kfl00412_0200 Cre03.g206550
kfl00413_0020 Cre06.g277650
kfl00416_0020 Cre02.g082877
kfl00419_0090 Cre17.g702200
kfl00420_0060 Cre14.g632767
kfl00422_0010 Cre07.g338000
kfl00422_0140 Cre16.g658075
kfl00428_0060 Cre13.g578012
kfl00431_0060 Cre10.g439400
kfl00439_0040 Cre03.g155001
kfl00439_0050 Cre06.g304400
kfl00441_0050 Cre02.g091850
kfl00441_0110 Cre12.g517100
kfl00443_0020 Cre16.g680700
kfl00452_0120 Cre12.g542202
kfl00454_0060 Cre12.g535550
kfl00454_0070 Cre06.g273750
kfl00455_0110 Cre03.g190750
kfl00456_0080 Cre01.g027200
kfl00456_0150 Cre03.g151850
kfl00456_0160 Cre12.g557700
kfl00462_0020 Cre03.g168550
kfl00466_0120 Cre12.g488000
kfl00467_0060 Cre02.g081650
kfl00471_0070 Cre17.g728100
kfl00473_0050 Cre02.g077100
kfl00476_0010 Cre03.g153900
kfl00481_0120 Cre12.g510650
kfl00481_0130 Cre09.g386735
kfl00482_0070 Cre17.g710200
kfl00483_0070 Cre02.g146550
kfl00487_0020 Cre10.g449050
kfl00489_0010 Cre02.g113100
kfl00491_0070 Cre01.g055408
kfl00493_0060 Cre10.g449250
kfl00506_0050 Cre16.g691888
kfl00510_0040 Cre03.g145127
kfl00517_0010 Cre10.g456400
kfl00517_0030 Cre06.g283050
kfl00517_0040 Cre06.g283050
kfl00519_0080 Cre17.g724300
kfl00524_0040 Cre18.g748997
kfl00532_0050 Cre04.g228350
kfl00536_0070 Cre06.g267600
kfl00548_0010 Cre10.g419550
kfl00548_0050 Cre11.g467700
kfl00548_0070 Cre12.g528000
kfl00550_0040 Cre12.g547150
kfl00560_0010 Cre03.g207900
kfl00560_0090 Cre11.g467573
kfl00563_0050 Cre11.g467630
kfl00564_0030 Cre10.g452050
kfl00565_0030 Cre03.g174672
kfl00572_0010 Cre09.g396700
kfl00592_0030 Cre12.g556750
kfl00593_0030 Cre06.g296250
kfl00600_0050 Cre06.g272300
kfl00601_0070 Cre10.g436500
kfl00608_0090 Cre12.g525050
kfl00617_0080 Cre03.g174700
kfl00618_0040 Cre07.g322884
kfl00622_0070 Cre14.g627251
kfl00624_0020 Cre12.g532050
kfl00633_0020 Cre13.g562900
kfl00633_0030 Cre03.g175400
kfl00635_0040 Cre12.g542000
kfl00636_0030 Cre12.g559350
kfl00638_0020 Cre03.g181500
kfl00640_0020 Cre12.g542300
kfl00642_0030 Cre03.g195050
kfl00643_0090 Cre02.g088600
kfl00645_0020 Cre17.g701300
kfl00648_0040 Cre03.g176350
kfl00663_0020 Cre04.g231026
kfl00664_0020 Cre16.g677600
kfl00668_0070 Cre06.g297400
kfl00671_0030 Cre11.g469600
kfl00678_0030 Cre06.g309717
kfl00681_0070 Cre10.g441500
kfl00682_0020 Cre08.g374050
kfl00686_0010 Cre12.g550400
kfl00689_0100 Cre03.g195450
kfl00704_0055 Cre16.g682100
kfl00705_0040 Cre02.g144700
kfl00717_0010 Cre02.g098150
kfl00722_0010 Cre08.g381702
kfl00733_0030 Cre12.g551550
kfl00734_0030 Cre03.g169650
kfl00741_0030 Cre12.g558250
kfl00741_0040 Cre06.g311750
kfl00745_0010 Cre02.g115250
kfl00753_0080 Cre04.g218150
kfl00782_0010 Cre05.g232150
kfl00785_0050 Cre02.g103100
kfl00792_0030 Cre05.g233950
kfl00802_0060 Cre16.g690300
kfl00811_0030 Cre17.g740950
kfl00811_0040 Cre19.g750547
kfl00814_0010 Cre02.g098300
kfl00817_0020 Cre03.g177550
kfl00840_0060 Cre16.g672500
kfl00856_0030 Cre17.g746597
kfl00864_0050 Cre01.g000800
kfl00869_0050 Cre10.g455600
kfl00870_0020 Cre07.g337650
kfl00894_0010 Cre06.g306550
kfl00898_0010 Cre06.g272550
kfl00923_0010 Cre12.g547300
kfl00958_0030 Cre12.g499400
kfl00978_0010 Cre17.g721250
kfl00998_0020 Cre17.g704400
kfl00998_0030 Cre17.g704400
kfl01003_0020 Cre14.g626700
kfl01061_0010 Cre11.g467778
kfl01088_0010 Cre04.g231418
kfl01284_0010 Cre12.g554953
kfl01328_0010 Cre05.g233305
kfl01369_0010 Cre10.g464500
kfl01405_0010 Cre04.g217921
kfl01434_0010 Cre01.g066917
