kfl00001_0490 AT2G23890
kfl00044_0280 AT2G39010
kfl00044_0400 AT5G25880
kfl00044_0410 AT1G09340
kfl00045_0010 AT3G29170
kfl00046_0020 AT1G05030
kfl00046_0160 AT2G25737
kfl00047_0220 AT2G28100
kfl00048_0230 AT1G03310
kfl00048_0350 AT3G53180
kfl00048_0430 AT1G78380
kfl00048_0490 AT4G31750
kfl00049_0060 AT1G02960
kfl00049_g19 AT1G47290
kfl00049_0300 AT3G17810
kfl00049_0370 AT1G62730
kfl00051_0070 AT4G19160
kfl00051_0100 AT1G18080
kfl00052_0070 AT4G34890
kfl00053_0020 AT2G19950
kfl00053_0250 AT1G44920
kfl00053_0270 AT1G21370
kfl00054_0120 AT1G70590
kfl00054_0200 AT2G17250
kfl00054_0350 AT4G12830
kfl00054_0390 AT1G61000
kfl00057_0090 AT2G22140
kfl00057_0110 AT1G64480
kfl00057_0160 AT1G69210
kfl00057_0180 AT2G20260
kfl00057_0520 AT5G47010
kfl00059_0050 AT3G10840
kfl00059_0200 AT4G23800
kfl00060_0300 AT2G18410
kfl00061_0280 AT2G27120
kfl00061_0310 AT2G46225
kfl00061_0400 AT4G27060
kfl00062_0110 AT2G46260
kfl00063_0050 AT5G22320
kfl00063_0150 AT5G10320
kfl00063_0180 AT1G65470
kfl00064_0070 AT1G64650
kfl00064_0090 AT1G19690
kfl00064_0100 AT2G36830
kfl00064_0130 AT2G39780
kfl00065_0170 AT4G32915
kfl00065_0250 AT5G14800
kfl00065_0290 AT3G04240
kfl00066_0110 AT5G10860
kfl00068_0030 AT4G13550
kfl00068_0270 AT1G51110
kfl00069_0150 AT5G50700
kfl00071_0130 AT2G45990
kfl00072_0060 AT1G57820
kfl00073_0140 AT2G15350
kfl00073_0180 AT3G56310
kfl00073_0250 AT5G42850
kfl00074_0160 AT2G31110
kfl00075_0310 AT2G29570
kfl00075_0320 AT2G28370
kfl00078_0250 AT4G37210
kfl00079_0180 AT4G34620
kfl00079_0270 AT1G19130
kfl00079_0310 AT5G20360
kfl00080_0010 AT3G15150
kfl00080_0200 AT1G70210
kfl00080_0350 AT5G14620
kfl00082_0120 AT4G20360
kfl00082_0170 AT1G74210
kfl00084_0170 AT1G20030
kfl00084_0180 AT5G13960
kfl00085_0210 AT1G76130
kfl00086_0280 AT4G19880
kfl00089_0180 AT1G53210
kfl00090_0290 AT5G26340
kfl00092_0200 AT1G05720
kfl00092_0210 AT3G55800
kfl00093_0260 AT4G00290
kfl00093_0280 AT3G56090
kfl00093_0320 AT1G67090
kfl00094_0060 AT5G20500
kfl00094_0240 AT1G29700
kfl00096_0040 AT1G76060
kfl00096_0160 AT4G25320
kfl00097_0200 AT5G64010
kfl00097_0220 AT2G33380
kfl00098_0050 AT5G18700
kfl00098_0080 AT1G29930
kfl00098_0090 AT1G29930
kfl00100_0310 AT1G12900
kfl00101_0140 AT1G80160
kfl00101_0240 AT3G23610
kfl00104_0050 AT1G20050
kfl00104_0080 AT1G21410
kfl00104_0360 AT4G10790
kfl00105_0140 AT5G48020
kfl00106_0110 AT5G13690
kfl00108_0080 AT4G03965
kfl00109_0010 AT1G69750
kfl00109_0160 AT3G20390
kfl00110_0050 AT3G51520
kfl00110_0160 AT1G75330
kfl00110_0320 AT2G24640
kfl00112_0070 AT1G44110
kfl00113_0300 AT4G29170
kfl00117_0060 AT1G67090
kfl00117_0210 AT4G04640
kfl00118_0140 AT3G46970
kfl00119_0110 AT2G02390
kfl00121_0140 AT5G22620
kfl00121_0170 AT5G54260
kfl00125_0100 AT1G56000
kfl00126_0050 AT1G79550
kfl00127_0170 AT5G26040
kfl00128_0230 AT2G42820
kfl00129_0250 AT2G07340
kfl00130_0080 AT1G71310
kfl00132_0180 AT2G04039
kfl00133_0030 AT1G54500
kfl00135_0100 AT5G41880
kfl00136_0150 AT5G50950
kfl00137_0060 AT5G19740
kfl00138_0010 AT4G03280
kfl00139_0050 AT5G49540
kfl00139_0140 AT3G17940
kfl00140_0130 AT5G08710
kfl00141_0120 AT5G14670
kfl00141_0280 AT1G42970
kfl00142_0080 AT3G06400
kfl00144_0010 AT1G18720
kfl00144_0020 AT3G05600
kfl00145_0170 AT5G14780
kfl00151_0050 AT3G55850
kfl00151_0090 AT3G20290
kfl00151_0140 AT2G30870
kfl00151_0180 AT3G01435
kfl00151_0300 AT4G39660
kfl00158_0100 AT5G54160
kfl00160_0010 AT1G04010
kfl00160_0150 AT3G25470
kfl00161_0080 AT3G22840
kfl00161_0150 AT3G15750
kfl00161_0190 AT4G18590
kfl00162_0220 AT5G19330
kfl00165_0140 AT4G29910
kfl00167_0040 AT1G01050
kfl00168_0120 AT3G48000
kfl00169_0050 AT5G66190
kfl00169_0190 AT2G01170
kfl00169_0200 AT2G01170
kfl00172_0020 AT5G10860
kfl00177_0110 AT3G57680
kfl00177_0170 AT3G04780
kfl00177_0220 AT2G38900
kfl00177_0260 AT5G38660
kfl00179_0240 AT4G14270
kfl00179_0260 AT2G36490
kfl00179_0280 AT1G03780
kfl00183_0080 AT4G37560
kfl00184_0010 AT2G07690
kfl00185_0060 AT5G11350
kfl00185_0240 AT3G05600
kfl00188_0210 AT5G51720
kfl00189_0020 AT3G52030
kfl00189_0090 AT2G01170
kfl00190_0100 AT1G11680
kfl00190_0160 AT1G11780
kfl00192_0200 AT3G48980
kfl00193_0150 AT1G03130
kfl00194_0030 AT3G61620
kfl00196_0120 AT4G19170
kfl00199_0060 AT4G05190
kfl00202_0070 AT2G15620
kfl00203_0160 AT1G10930
kfl00207_0040 AT4G04955
kfl00207_0130 AT4G39970
kfl00208_0140 AT2G45290
kfl00209_0130 AT4G12300
kfl00213_0040 AT1G31330
kfl00218_0130 AT4G01850
kfl00222_0130 AT4G10960
kfl00224_0020 AT2G34460
kfl00226_0160 AT3G09890
kfl00229_0010 AT5G57110
kfl00231_0120 AT3G57870
kfl00231_0130 AT5G40160
kfl00232_0220 AT2G23090
kfl00233_0060 AT4G19880
kfl00233_0100 AT2G34770
kfl00239_0100 AT3G06510
kfl00239_0120 AT1G06680
kfl00240_0020 AT1G32080
kfl00244_0100 AT3G60350
kfl00246_0080 AT5G52070
kfl00247_0040 AT1G68080
kfl00248_0070 AT1G18170
kfl00251_0160 AT5G25050
kfl00254_0050 AT5G54290
kfl00255_0160 AT1G80950
kfl00255_0190 AT3G09600
kfl00256_0130 AT1G09815
kfl00258_0090 AT5G63620
kfl00259_0040 AT3G42050
kfl00260_0160 AT2G32090
kfl00261_0070 AT5G42810
kfl00261_0090 AT3G11220
kfl00264_0080 AT1G03905
kfl00264_0160 AT4G19830
kfl00268_0180 AT1G06130
kfl00268_0190 AT1G77670
kfl00269_0020 AT1G52230
kfl00271_0070 AT3G10060
kfl00271_0080 AT3G51880
kfl00272_0110 AT4G08550
kfl00272_0150 AT5G50450
kfl00274_0010 AT1G53120
kfl00275_0010 AT3G17020
kfl00280_0020 AT4G01940
kfl00280_0170 AT3G44200
kfl00281_0060 AT2G23530
kfl00282_0150 AT3G47930
kfl00283_0040 AT5G55570
kfl00283_0090 AT1G08380
kfl00284_0050 AT4G04180
kfl00286_0090 AT2G20340
kfl00291_0160 AT3G26060
kfl00294_0010 AT1G26340
kfl00294_0060 AT1G48170
kfl00294_0090 AT4G21540
kfl00295_0110 AT2G19570
kfl00301_0060 AT4G19390
kfl00302_0070 AT3G46780
kfl00304_0125 AT1G35710
kfl00304_0130 AT1G70740
kfl00307_0140 AT2G27920
kfl00309_0140 AT1G34780
kfl00309_0150 AT5G19860
kfl00310_0020 AT2G35920
kfl00312_0090 AT5G49950
kfl00318_0030 AT3G56160
kfl00320_0040 AT2G14660
kfl00320_0140 AT1G56140
kfl00326_0090 AT5G40820
kfl00326_0140 AT2G41640
kfl00329_0070 AT5G50420
kfl00336_0140 AT3G60410
kfl00338_0010 AT5G40270
kfl00338_0100 AT4G02390
kfl00339_0120 AT1G01920
kfl00345_0070 AT3G58470
kfl00345_0170 AT4G24040
kfl00346_0020 AT1G07220
kfl00348_0030 AT5G66040
kfl00356_0110 AT2G43350
kfl00357_0110 AT5G52560
kfl00358_0030 AT5G62530
kfl00358_0120 AT3G12345
kfl00358_0190 AT1G68185
kfl00364_0060 AT4G28310
kfl00364_0070 AT3G19050
kfl00371_0020 AT2G42005
kfl00371_0100 AT3G62830
kfl00375_0050 AT5G54370
kfl00375_0070 AT3G21400
kfl00378_0050 AT4G20850
kfl00381_0040 AT1G31360
kfl00382_0050 AT1G77290
kfl00383_0110 AT3G51510
kfl00390_0040 AT4G29380
kfl00392_0090 AT5G47650
kfl00396_0090 AT4G29210
kfl00403_0050 AT3G52930
kfl00404_0100 AT1G20620
kfl00407_0050 AT1G51805
kfl00407_0090 AT1G69230
kfl00410_0070 AT5G17610
kfl00411_0100 AT5G48600
kfl00412_0200 AT3G48420
kfl00413_0080 AT5G42765
kfl00416_0020 AT1G11870
kfl00417_0030 AT1G07080
kfl00418_0090 AT3G61600
kfl00419_0090 AT2G14255
kfl00420_0060 AT3G44620
kfl00422_0010 AT1G44900
kfl00422_0140 AT4G11980
kfl00424_0060 AT5G42700
kfl00431_0060 AT3G25660
kfl00433_0090 AT4G40042
kfl00439_0040 AT2G39930
kfl00439_0050 AT5G20140
kfl00441_0050 AT4G16800
kfl00441_0110 AT1G53520
kfl00443_0020 AT3G22850
kfl00452_0120 AT3G61080
kfl00454_0060 AT5G11910
kfl00454_0070 AT1G65410
kfl00454_0120 AT1G09195
kfl00455_0110 AT5G59440
kfl00456_0080 AT1G63800
kfl00456_0150 AT2G31985
kfl00456_0160 AT3G10850
kfl00462_0020 AT5G40780
kfl00466_0080 AT4G28025
kfl00466_0120 AT1G62660
kfl00467_0060 AT3G28720
kfl00471_0070 AT1G51760
kfl00473_0050 AT4G23100
kfl00481_0120 AT3G54050
kfl00481_0130 AT1G54220
kfl00487_0020 AT5G28910
kfl00489_0010 AT5G20090
kfl00491_0070 AT5G36880
kfl00493_0060 AT3G60350
kfl00506_0050 AT1G07110
kfl00510_0040 AT1G74150
kfl00515_0090 AT1G15110
kfl00517_0030 AT3G54890
kfl00517_0040 AT3G54890
kfl00519_0080 AT1G30380
kfl00519_0090 AT5G16060
kfl00524_0040 AT5G19980
kfl00524_0050 AT1G12990
kfl00528_0030 AT2G34470
kfl00532_0050 AT3G06850
kfl00536_0070 AT5G57030
kfl00548_0010 AT4G18940
kfl00548_0050 AT2G40490
kfl00548_0070 AT3G48530
kfl00560_0010 AT1G76310
kfl00560_0090 AT1G61520
kfl00563_0050 AT1G08980
kfl00564_0030 AT3G61470
kfl00592_0030 AT4G23430
kfl00593_0030 AT3G13490
kfl00600_0050 AT5G62840
kfl00601_0070 AT1G72880
kfl00608_0090 AT5G61460
kfl00617_0090 AT2G16770
kfl00618_0040 AT2G31750
kfl00622_0070 AT1G11540
kfl00624_0020 AT2G28250
kfl00631_0090 AT5G45660
kfl00633_0030 AT5G42740
kfl00635_0040 AT4G18460
kfl00636_0030 AT4G10020
kfl00638_0020 AT5G64860
kfl00638_0030 AT2G30570
kfl00640_0020 AT1G80380
kfl00642_0030 AT1G04420
kfl00643_0090 AT5G49460
kfl00645_0020 AT3G06670
kfl00648_0040 AT1G51110
kfl00663_0020 AT2G47450
kfl00664_0020 AT5G42760
kfl00667_0020 AT5G16550
kfl00668_0070 AT3G15090
kfl00671_0030 AT1G08460
kfl00678_0030 AT1G55805
kfl00681_0070 AT1G28120
kfl00682_0020 AT2G42120
kfl00686_0010 AT5G40370
kfl00691_0080 AT1G33490
kfl00704_0055 AT5G06060
kfl00705_0040 AT3G26570
kfl00711_0025 AT5G52800
kfl00717_0010 AT2G21370
kfl00722_0010 AT1G79440
kfl00733_0030 AT5G28780
kfl00734_0030 AT5G12120
kfl00739_0070 AT2G36320
kfl00741_0030 AT5G05570
kfl00741_0040 AT3G26500
kfl00745_0010 AT4G34280
kfl00753_0080 AT4G27800
kfl00782_0010 AT1G51720
kfl00785_0050 AT5G50700
kfl00792_0030 AT1G52220
kfl00798_0020 AT1G48320
kfl00811_0030 AT4G34190
kfl00811_0040 AT4G28220
kfl00814_0010 AT3G54630
kfl00817_0020 AT4G35450
kfl00819_0010 AT5G66150
kfl00840_0060 AT3G60660
kfl00856_0030 AT4G12910
kfl00864_0050 AT1G78995
kfl00864_0060 AT1G22460
kfl00869_0050 AT3G61740
kfl00870_0020 AT1G59900
kfl00894_0010 AT2G02990
kfl00898_0010 AT5G51080
kfl00923_0010 AT2G01320
kfl00958_0030 AT2G36130
kfl00998_0020 AT1G67340
kfl00998_0030 AT1G67340
kfl01003_0020 AT1G60950
kfl01061_0010 AT3G53900
kfl01284_0010 AT5G43430
kfl01328_0010 AT2G21280
kfl01369_0010 AT5G38900
kfl01405_0010 AT4G31480
kfl01434_0010 AT3G27690
