geneID	LL	HL	BestHitAtha	BestHitCre
kfl00025_0370	6.1648825	2.013816	AT2G06210	Cre03.g189605
kfl00025_0390	98.3746145	33.1285075	NA	NA
kfl00025_0490	10.011919	0	NA	Cre01.g034050
kfl00026_0260	29.5056505	3.2396565	AT3G25980	Cre08.g380400
kfl00026_0310	8.5455315	1.1059625	AT2G24640	Cre12.g561350
kfl00027_0050	89.224369	14.268037	AT1G43670	Cre12.g510650
kfl00027_g54	97.9935605	29.4096025	AT2G03870	Cre03.g164101
kfl00028_0140	39.0765015	6.510753	NA	NA
kfl00028_0270	4.26413	0.9479785	AT5G06680	Cre11.g467745
kfl00028_0380	3.585008	0.7064435	NA	Cre12.g505300
kfl00028_0470	26.139557	8.5002135	NA	Cre04.g218100
kfl00029_0180	20.5455855	6.66656	AT4G18240	Cre16.g665800
kfl00029_0270	7.337885	0	AT5G44635	Cre03.g178650
kfl00030_0180	85.1792295	20.413048	AT5G25880	Cre06.g251400
kfl00030_0320	12.1937165	4.2598615	AT1G17870	Cre01.g049350
kfl00031_0110	15.051065	6.2140805	NA	Cre17.g724550
kfl00031_0160	26.02479	4.8893965	AT5G48720	NA
kfl00031_0500	4.3813975	1.331805	AT5G41790	Cre16.g656950
kfl00032_0080	10.1068435	4.052491	AT5G04920	Cre03.g159750
kfl00032_0190	24.84807	5.142745	AT2G39780	Cre06.g306550
kfl00032_0420	38.1964205	5.5538195	AT3G10960	Cre10.g448450
kfl00033_0050	6.969311	0	AT4G24710	Cre02.g117150
kfl00033_0190	5.744207	0.8035425	NA	NA
kfl00033_0310	5.899743	1.113287	AT2G16440	Cre07.g316850
kfl00034_0180	69.2021695	19.6383775	AT3G43660	Cre02.g099500
kfl00034_0250	4.962888	1.3328975	AT3G13780	NA
kfl00034_0260	6.0555595	0.626804	AT2G01980	Cre02.g144550
kfl00035_0180	5.05168	0.9891725	AT2G42810	Cre07.g326800
kfl00037_0200	44.0004695	14.1967595	AT5G48580	Cre16.g673953
kfl00037_0260	162.585739	53.6362745	AT3G01850	Cre02.g116450
kfl00038_0210	4.6914445	0	AT3G27120	Cre01.g022000
kfl00038_0330	86.289295	32.315767	AT3G12780	Cre11.g467770
kfl00038_0375	3.82664	0	NA	NA
kfl00039_0280	51.5140285	16.774558	AT5G25640	Cre16.g664801
kfl00039_0290	6.611318	2.3787355	AT3G19210	Cre03.g189000
kfl00040_0060	23.886426	7.9879495	AT2G41760	Cre04.g217912
kfl00040_0160	5.4312235	1.7239665	NA	NA
kfl00041_0190	371.983734	34.543074	AT4G35570	Cre06.g261450
kfl00042_0060	16.5551815	5.402564	NA	NA
kfl00042_0070	13.479539	1.290268	NA	NA
kfl00042_0140	103.5269855	20.357029	NA	NA
kfl00043_0150	8.897726	0.8454575	AT4G34570	Cre17.g715900
kfl00043_0340	255.883873	65.2187235	NA	NA
kfl00044_0010	28.122798	10.3253665	AT1G26665	Cre12.g556450
kfl00044_0130	49.042347	20.478589	AT3G58800	Cre16.g692650
kfl00044_0280	9.3890115	0	AT2G39010	Cre12.g549300
kfl00044_0360	20.216981	7.672171	NA	Cre05.g244900
kfl00044_0390	3.18099	0	NA	NA
kfl00044_0400	10.180978	1.7148535	AT5G25880	Cre06.g251400
kfl00044_0410	40.9707795	14.6022755	AT1G09340	Cre10.g435800
kfl00045_0010	17.0759805	4.9912295	AT3G29170	Cre16.g678150
kfl00046_0020	127.412861	55.147335	AT1G05030	Cre03.g206800
kfl00046_0160	9.4878175	2.735045	AT2G25737	Cre14.g627350
kfl00047_0220	16.8837605	5.324309	AT2G28100	NA
kfl00048_0230	17.256773	3.4827775	AT1G03310	Cre03.g207713
kfl00048_0350	21.187269	6.183852	AT3G53180	Cre03.g146627
kfl00048_0430	40.229559	13.988777	AT1G78380	Cre01.g044700
kfl00048_0490	70.519474	13.4781485	AT4G31750	Cre08.g365632
kfl00049_0060	37.356644	8.3250985	AT1G02960	NA
kfl00049_0300	88.1405375	35.7472995	AT3G17810	Cre13.g578750
kfl00049_0370	22.3434965	5.459209	AT1G62730	Cre03.g194300
kfl00049_g19	29.76984	6.4720725	AT1G47290	Cre12.g518650
kfl00051_0070	6.9100695	2.1126495	AT4G19160	Cre14.g621850
kfl00051_0100	3.6342715	0	AT1G18080	Cre10.g429300
kfl00052_0070	10.2488415	3.0226905	AT4G34890	Cre12.g545101
kfl00053_0020	11.1092295	4.272048	AT2G19950	Cre12.g517500
kfl00053_0250	31.0556555	6.8402715	AT1G44920	Cre13.g569250
kfl00053_0270	14.3103795	4.271392	AT1G21370	Cre02.g116000
kfl00054_0120	45.547272	19.203637	AT1G70590	Cre03.g197400
kfl00054_0200	98.5079385	34.397745	AT2G17250	Cre01.g068377
kfl00054_0350	2.6868355	0	AT4G12830	Cre03.g195200
kfl00054_0390	4.2132555	0.3947675	AT1G61000	Cre01.g008450
kfl00056_0190	2.1650855	0	NA	Cre04.g230242
kfl00056_0390	38.2056065	5.784308	NA	NA
kfl00057_0090	5.6169535	0.65325	AT2G22140	NA
kfl00057_0110	40.859346	8.7247135	AT1G64480	Cre11.g468450
kfl00057_0160	9.676524	0.988969	AT1G69210	Cre06.g290150
kfl00057_0180	306.4327695	117.027477	AT2G20260	Cre10.g420350
kfl00057_0520	3.147702	0	AT5G47010	Cre09.g396139
kfl00059_0050	12.4998875	2.4479745	AT3G10840	Cre01.g039400
kfl00059_0200	21.738637	6.5244375	AT4G23800	Cre11.g481050
kfl00059_g26	1.1191595	0	NA	NA
kfl00060_0080	14.065939	4.9575015	NA	Cre04.g216650
kfl00060_0230	55.9557475	22.174279	NA	NA
kfl00060_0300	4.7878555	0.8681885	AT2G18410	NA
kfl00061_0280	1.797269	0	AT2G27120	Cre03.g179961
kfl00061_0310	13.5605715	3.097319	AT2G46225	NA
kfl00061_0400	5.8136795	0.8093025	AT4G27060	Cre03.g178700
kfl00062_0110	5.521883	0	AT2G46260	NA
kfl00063_0040	3.875034	0.1470655	NA	NA
kfl00063_0050	8.8436565	0	AT5G22320	Cre12.g531500
kfl00063_0150	8.394708	0.15831	AT5G10320	Cre17.g719050
kfl00063_0180	3.5170045	0.5613975	AT1G65470	Cre12.g550152
kfl00063_0240	7.8044245	2.6319805	NA	Cre10.g453350
kfl00064_0070	38.901596	15.27354	AT1G64650	Cre16.g695500
kfl00064_0090	67.7977105	16.2614565	AT1G19690	Cre09.g401022
kfl00064_0100	4.39047	0.9322025	AT2G36830	Cre12.g549300
kfl00064_0130	105.0841485	18.764013	AT2G39780	Cre06.g306550
kfl00065_0170	32.868601	11.520462	AT4G32915	Cre08.g364650
kfl00065_0250	19.774212	7.990819	AT5G14800	Cre03.g154550
kfl00065_0290	3.936074	0.3459465	AT3G04240	Cre02.g094900
kfl00066_0110	107.444996	27.0270865	AT5G10860	Cre09.g405800
kfl00068_0030	14.8282905	3.8132545	AT4G13550	Cre01.g002400
kfl00068_0270	66.732174	23.199547	AT1G51110	Cre03.g176350
kfl00069_0150	147.9292905	48.8678305	AT5G50700	Cre12.g559350
kfl00071_0130	57.243326	19.9442995	AT2G45990	Cre06.g278117
kfl00072_0060	2.110329	0	AT1G57820	Cre03.g163850
kfl00072_0170	11.402734	1.753412	NA	NA
kfl00073_0060	30.2923565	9.127353	NA	NA
kfl00073_0120	10.201456	2.782157	NA	NA
kfl00073_0140	13.393719	1.6440975	AT2G15350	NA
kfl00073_0180	19.4012415	1.608253	AT3G56310	Cre01.g026250
kfl00073_0250	31.4040435	12.1441305	AT5G42850	Cre12.g549500
kfl00074_0160	52.66333	22.5274475	AT2G31110	NA
kfl00075_0310	30.446001	2.276693	AT2G29570	Cre12.g515850
kfl00075_0320	4.070321	0	AT2G28370	NA
kfl00076_0100	10.1237045	0	NA	NA
kfl00078_0250	13.4664735	3.5603965	AT4G37210	Cre06.g280800
kfl00079_0180	94.091011	37.5213055	AT4G34620	Cre12.g494450
kfl00079_0270	50.29575	18.5289795	AT1G19130	NA
kfl00079_0310	9.237836	0.9722265	AT5G20360	Cre02.g075100
kfl00080_0010	37.086037	8.3886255	AT3G15150	NA
kfl00080_0115	18.395959	6.312091	NA	NA
kfl00080_0200	12.012063	2.2780625	AT1G70210	Cre06.g289750
kfl00080_0350	4.761827	0.174707	AT5G14620	NA
kfl00082_0120	9.2226425	1.679217	AT4G20360	Cre06.g259200
kfl00082_0170	8.257223	2.4819215	AT1G74210	Cre02.g113050
kfl00084_0170	3.1440265	0.4604	AT1G20030	Cre02.g102300
kfl00084_0180	11.4054775	3.153039	AT5G13960	Cre04.g233302
kfl00085_0200	29.2806805	12.614249	NA	Cre01.g043300
kfl00085_0210	25.686979	10.615853	AT1G76130	Cre08.g362450
kfl00086_0280	9.9805265	2.049508	AT4G19880	Cre12.g538100
kfl00086_0380	43.7792375	2.43848	NA	NA
kfl00089_0180	51.7991105	17.265108	AT1G53210	Cre03.g178150
kfl00090_0290	454.308014	156.6884845	AT5G26340	Cre03.g206800
kfl00091_0130	205.565628	61.316143	NA	NA
kfl00092_0200	68.844452	19.411969	AT1G05720	Cre01.g038950
kfl00092_0210	121.7615965	40.2711985	AT3G55800	Cre03.g185550
kfl00093_0260	54.7533895	19.954934	AT4G00290	Cre07.g329300
kfl00093_0280	14.3169495	2.5130985	AT3G56090	Cre09.g387800
kfl00093_0320	582.588074	223.0354465	AT1G67090	Cre02.g120150
kfl00094_0060	185.5697325	79.153725	AT5G20500	Cre12.g550400
kfl00094_0240	56.4257645	20.3202745	AT1G29700	Cre01.g007300
kfl00095_0030	2.498736	0	NA	Cre02.g110250
kfl00096_0040	48.018669	19.2967325	AT1G76060	Cre01.g028150
kfl00096_0160	53.021551	15.841756	AT4G25320	NA
kfl00097_0200	7.118202	0	AT5G64010	NA
kfl00097_0220	80.3126835	19.848501	AT2G33380	Cre06.g287000
kfl00098_0050	6.966996	2.5515145	AT5G18700	Cre14.g612000
kfl00098_0080	101.7507095	19.3847695	AT1G29930	Cre01.g066917
kfl00098_0090	81.553936	16.171715	AT1G29930	Cre01.g066917
kfl00098_0110	15.6207995	3.5797375	NA	NA
kfl00098_0250	52.181238	21.0256965	NA	NA
kfl00100_0310	312.5679015	114.0541265	AT1G12900	Cre01.g010900
kfl00101_0140	54.2182885	17.6772435	AT1G80160	Cre16.g678200
kfl00101_0240	30.1910955	10.4050455	AT3G23610	Cre17.g717300
kfl00104_0050	20.3952685	5.221974	AT1G20050	Cre12.g557900
kfl00104_0080	9.3812635	2.4522995	AT1G21410	Cre12.g559050
kfl00104_0360	16.1384915	4.428042	AT4G10790	Cre04.g230830
kfl00105_0140	21.079066	3.1309285	AT5G48020	Cre13.g586400
kfl00106_0110	5.909661	1.040981	AT5G13690	NA
kfl00107_0210	4994.6520995	1381.1257325	NA	NA
kfl00108_0060	122.579792	49.341465	NA	Cre04.g231418
kfl00108_0080	7.83459	1.1287135	AT4G03965	Cre01.g007774
kfl00109_0010	25.312943	7.472583	AT1G69750	Cre10.g454550
kfl00109_0080	45.4655625	13.405156	NA	Cre11.g467524
kfl00109_0160	86.8411215	33.5552005	AT3G20390	Cre16.g669650
kfl00110_0050	35.0417965	9.8093885	AT3G51520	Cre09.g386912
kfl00110_0160	29.82258	7.267719	AT1G75330	Cre12.g489700
kfl00110_0320	1.9661375	0	AT2G24640	Cre14.g613700
kfl00111_0120	18.843297	1.9663	NA	NA
kfl00112_0060	17.6204835	6.9407645	NA	NA
kfl00112_0070	4.3842755	0	AT1G44110	Cre03.g207900
kfl00112_0220	66.9479065	27.691028	NA	NA
kfl00112_g11	1.919797	0	NA	NA
kfl00113_0300	2.777524	0	AT4G29170	Cre06.g278850
kfl00116_0080	2.3478315	0	NA	Cre17.g710200
kfl00117_0060	547.02298	177.2202985	AT1G67090	Cre02.g120150
kfl00117_0210	128.741806	56.9965115	AT4G04640	Cre06.g259900
kfl00118_0130	39.9538765	6.382035	NA	NA
kfl00118_0140	6.3856925	1.3228625	AT3G46970	Cre12.g552200
kfl00118_0230	27.294524	8.683561	NA	NA
kfl00119_0050	74.5205575	10.175352	NA	NA
kfl00119_0110	36.9513915	9.53025	AT2G02390	Cre11.g467690
kfl00119_g7	17.4647545	4.3737905	NA	NA
kfl00121_0140	11.850375	2.5474505	AT5G22620	Cre05.g232550
kfl00121_0170	9.388689	2.4352495	AT5G54260	Cre12.g556911
kfl00121_0190	1.6073435	0	NA	NA
kfl00122_0080	6.052041	0	NA	NA
kfl00123_g15	12.962311	0	NA	NA
kfl00125_0100	11.830581	2.5152715	AT1G56000	Cre03.g207150
kfl00126_0050	36.5005035	11.2097575	AT1G79550	Cre11.g467770
kfl00127_0170	13.6361675	3.487993	AT5G26040	Cre08.g358555
kfl00128_0230	174.792435	66.631466	AT2G42820	Cre03.g177500
kfl00129_0250	68.4001885	26.584815	AT2G07340	Cre09.g405400
kfl00130_0080	9.2533405	2.282008	AT1G71310	NA
kfl00132_0180	47.2049445	19.1689415	AT2G04039	Cre12.g484350
kfl00133_0030	83.892208	34.3047695	AT1G54500	Cre07.g315150
kfl00135_0100	5.623127	0.128516	AT5G41880	Cre07.g312350
kfl00136_0150	44.794861	16.83345	AT5G50950	Cre01.g020223
kfl00137_0060	8.213365	1.028449	AT5G19740	NA
kfl00138_0010	39.855961	13.9617235	AT4G03280	Cre13.g585750
kfl00139_0050	63.556614	25.8316255	AT5G49540	Cre14.g614250
kfl00139_0140	14.2281415	2.2013205	AT3G17940	Cre06.g262050
kfl00140_0130	11.4555185	4.3087775	AT5G08710	Cre01.g025900
kfl00141_0120	1.0810005	0	AT5G14670	Cre12.g486250
kfl00141_0280	88.717186	15.1476815	AT1G42970	Cre01.g010900
kfl00142_0080	1.6245565	0	AT3G06400	Cre12.g508150
kfl00144_0010	52.872099	22.631861	AT1G18720	Cre12.g499650
kfl00144_0020	77.320675	24.3364695	AT3G05600	Cre01.g010550
kfl00144_0040	2.02888	0.3845315	NA	Cre09.g416550
kfl00145_0170	35.1443325	10.978567	AT5G14780	Cre07.g324550
kfl00145_0200	14.7293985	3.7462935	NA	NA
kfl00145_0250	3.525903	0	NA	NA
kfl00151_0050	4.5318025	0.1885045	AT3G55850	Cre06.g279350
kfl00151_0090	14.913107	5.8291135	AT3G20290	Cre12.g557250
kfl00151_0140	82.024727	6.403609	AT2G30870	Cre13.g584850
kfl00151_0180	26.6665045	6.2787695	AT3G01435	Cre12.g511250
kfl00151_0300	48.458286	12.145831	AT4G39660	Cre03.g182800
kfl00153_0100	2.962893	0	NA	NA
kfl00156_0030	873.8668515	313.340668	NA	NA
kfl00158_0010	40.292383	9.096135	NA	Cre03.g171550
kfl00158_0100	6.334482	1.9768665	AT5G54160	Cre08.g365800
kfl00159_0160	8.5611515	3.1001115	NA	Cre02.g095148
kfl00160_0010	2.591418	0	AT1G04010	Cre02.g106400
kfl00160_0150	10.34965	3.417515	AT3G25470	Cre10.g428900
kfl00161_0080	402.6054535	139.1639865	AT3G22840	Cre07.g320450
kfl00161_0150	18.990632	5.4046315	AT3G15750	Cre09.g388245
kfl00161_0190	46.5793705	14.0939355	AT4G18590	NA
kfl00162_0220	43.6494255	14.701814	AT5G19330	Cre02.g101550
kfl00163_0170	14.722806	4.7032975	NA	Cre06.g248950
kfl00164_0080	5.337572	1.415881	NA	Cre07.g356600
kfl00165_0140	2.0983105	0	AT4G29910	Cre07.g355200
kfl00166_0135	58.399534	15.24942	NA	NA
kfl00167_0040	288.651657	127.8915215	AT1G01050	Cre09.g387875
kfl00168_0120	9.997113	1.643368	AT3G48000	Cre12.g500150
kfl00169_0050	112.9229125	42.159168	AT5G66190	Cre11.g476750
kfl00169_0190	51.3033315	17.463158	AT2G01170	Cre02.g108550
kfl00169_0200	27.529567	5.7372735	AT2G01170	Cre04.g226150
kfl00172_0020	49.9850825	2.57433	AT5G10860	NA
kfl00173_0090	7.569314	0.866493	NA	NA
kfl00177_0110	9.714229	1.294444	AT3G57680	Cre17.g739150
kfl00177_0170	56.597557	15.634531	AT3G04780	Cre17.g730250
kfl00177_0220	75.3389015	28.5704935	AT2G38900	NA
kfl00177_0260	75.0340995	28.6052115	AT5G38660	Cre16.g665250
kfl00178_0100	1.1032795	0	NA	NA
kfl00179_0240	281.885559	52.061493	AT4G14270	NA
kfl00179_0260	5.861352	1.2564895	AT2G36490	Cre07.g355466
kfl00179_0280	2.5493455	0	AT1G03780	Cre11.g482850
kfl00180_0010	9.184807	0.5832175	NA	NA
kfl00181_0080	34.421846	11.805596	NA	Cre06.g280100
kfl00182_0120	9.0224915	3.406601	NA	NA
kfl00183_0010	65.5426175	18.974494	NA	NA
kfl00183_0080	18.3642835	3.159373	AT4G37560	Cre16.g691750
kfl00184_0010	7.03212	0	AT2G07690	Cre01.g023150
kfl00184_0110	16.685613	3.4777375	NA	Cre16.g681500
kfl00185_0060	5.8957015	1.190103	AT5G11350	Cre10.g448950
kfl00185_0120	71.967167	29.6584025	NA	NA
kfl00185_0240	19.355219	3.624674	AT3G05600	Cre01.g010550
kfl00188_0210	29.6529715	6.772947	AT5G51720	Cre01.g050550
kfl00189_0020	14.9777495	4.087051	AT3G52030	Cre01.g039500
kfl00189_0080	2.6084175	0	NA	Cre17.g715300
kfl00189_0090	2.2319305	0	AT2G01170	Cre04.g226150
kfl00190_0100	8.2354605	2.9195065	AT1G11680	Cre02.g092350
kfl00190_0150	2.1302875	0	NA	NA
kfl00190_0160	3.117182	0.143083	AT1G11780	Cre06.g278198
kfl00192_0200	2.4182995	0.1125865	AT3G48980	Cre16.g694800
kfl00193_0150	236.767235	64.7233235	AT1G03130	Cre05.g238332
kfl00194_0030	15.5491625	5.3035495	AT3G61620	Cre06.g284500
kfl00196_0120	11.651814	1.7260945	AT4G19170	Cre16.g657800
kfl00199_0060	3.0028105	0	AT4G05190	Cre16.g656700
kfl00202_0070	18.985402	6.475016	AT2G15620	Cre09.g410750
kfl00203_0160	2.1479345	0	AT1G10930	Cre04.g219750
kfl00207_0040	65.7175885	9.6219425	AT4G04955	Cre13.g592050
kfl00207_0130	61.016449	22.932849	AT4G39970	Cre16.g656650
kfl00208_0140	148.6931535	54.764555	AT2G45290	Cre02.g080200
kfl00209_0130	4.7093775	0	AT4G12300	Cre02.g142266
kfl00213_0040	303.0595245	85.2513845	AT1G31330	Cre09.g412100
kfl00216_0020	17.1979515	3.340409	NA	NA
kfl00217_0160	38.126879	12.8067045	NA	Cre16.g659800
kfl00218_0130	12.775251	0.8905735	AT4G01850	Cre06.g250200
kfl00220_0060	13.273119	3.9532265	NA	Cre13.g563650
kfl00221_0210	13.9160265	0	NA	NA
kfl00222_0130	32.1556735	11.7693255	AT4G10960	Cre04.g214502
kfl00224_0020	48.063326	21.023729	AT2G34460	Cre11.g467755
kfl00224_0040	40.6609325	10.8168555	NA	Cre01.g002050
kfl00225_g9	10.3338655	2.6975455	NA	NA
kfl00226_0160	26.3809145	5.8764065	AT3G09890	Cre06.g283300
kfl00227_0200	29.1008045	10.825587	NA	NA
kfl00229_0010	69.497341	25.384864	AT5G57110	Cre12.g505350
kfl00231_0120	10.977244	2.757021	AT3G57870	Cre02.g142000
kfl00231_0130	42.4407575	15.0926705	AT5G40160	NA
kfl00231_0170	25.9401675	9.6702155	NA	NA
kfl00232_0220	50.900305	17.0257155	AT2G23090	Cre01.g016850
kfl00233_0060	111.2114485	49.1408785	AT4G19880	Cre12.g538100
kfl00233_0100	29.8187865	9.1266865	AT2G34770	NA
kfl00233_g20	53.682014	11.9504225	NA	NA
kfl00236_g5	141.779068	60.475811	NA	Cre01.g040379
kfl00239_0025	2.72069	0	NA	NA
kfl00239_0030	1.4185085	0	NA	NA
kfl00239_0055	1.504337	0	NA	NA
kfl00239_0100	11.654549	1.170802	AT3G06510	Cre03.g171050
kfl00239_0120	267.371155	97.582489	AT1G06680	Cre12.g550850
kfl00240_0020	118.541088	46.376995	AT1G32080	Cre09.g394850
kfl00240_0060	2.754417	0	NA	NA
kfl00244_0100	1.697806	0	AT3G60350	Cre12.g536600
kfl00246_0080	4.8725135	0.8616645	AT5G52070	NA
kfl00247_0040	8.1352105	3.148378	AT1G68080	Cre12.g486551
kfl00248_0070	10.812544	2.215787	AT1G18170	Cre02.g095097
kfl00250_0160	10.749429	0	NA	NA
kfl00251_0160	23.597521	6.564335	AT5G25050	Cre01.g007737
kfl00254_0050	18.1471415	7.1226605	AT5G54290	Cre07.g357800
kfl00254_0090	25.7836705	8.604283	NA	NA
kfl00254_0210	65.965685	9.323983	NA	NA
kfl00255_0070	804.007782	243.8361355	NA	NA
kfl00255_0160	16.1947245	4.5946215	AT1G80950	Cre17.g707300
kfl00255_0190	10.011001	1.0034535	AT3G09600	Cre12.g514400
kfl00256_0100	30.0348555	9.136145	NA	NA
kfl00256_0130	51.904125	15.534353	AT1G09815	Cre06.g292950
kfl00258_0090	147.3050995	56.4890025	AT5G63620	Cre07.g321700
kfl00259_0040	58.9263115	24.880467	AT3G42050	Cre01.g027800
kfl00260_0080	47.2728235	4.581682	NA	Cre08.g376900
kfl00260_0160	149.7319185	58.6597385	AT2G32090	Cre16.g678200
kfl00261_0070	44.350735	17.9589185	AT5G42810	Cre04.g229000
kfl00261_0090	8.472557	2.8399895	AT3G11220	Cre03.g196000
kfl00264_0080	15.0658945	5.252751	AT1G03905	Cre13.g580300
kfl00264_0160	9.172794	1.075729	AT4G19830	Cre11.g478700
kfl00268_0180	30.628299	11.8399295	AT1G06130	NA
kfl00268_0190	11.009437	3.591956	AT1G77670	Cre01.g034050
kfl00269_0020	205.225258	82.871643	AT1G52230	Cre07.g330250
kfl00270_0130	4.5617315	0.908661	NA	NA
kfl00271_0070	121.207211	45.595997	AT3G10060	Cre17.g733250
kfl00271_0080	13.597331	2.1156195	AT3G51880	Cre01.g029450
kfl00272_0060	72.8471715	18.65543	NA	Cre07.g323600
kfl00272_0110	13.1352775	4.9099815	AT4G08550	Cre06.g278183
kfl00272_0150	14.362098	3.0030315	AT5G50450	Cre17.g742500
kfl00273_0020	35.662495	14.972249	NA	Cre12.g509250
kfl00274_0010	14.15512	5.383457	AT1G53120	Cre12.g502950
kfl00274_0080	30.5053825	13.167686	NA	NA
kfl00275_0010	293.694855	126.088379	AT3G17020	Cre12.g542350
kfl00276_0060	8.915286	2.885735	NA	NA
kfl00278_0070	111.9901655	38.010046	NA	NA
kfl00280_0020	22.3841765	8.196356	AT4G01940	Cre17.g710800
kfl00280_0170	3.3167485	0.962994	AT3G44200	Cre02.g107800
kfl00281_0060	8.6702915	0.189288	AT2G23530	Cre09.g387615
kfl00282_0150	19.0188055	6.362003	AT3G47930	Cre13.g567100
kfl00283_0030	1.4040605	0	NA	Cre08.g368350
kfl00283_0040	37.0732135	11.063097	AT5G55570	Cre03.g145567
kfl00283_0090	165.9026795	49.539387	AT1G08380	Cre07.g334550
kfl00284_0050	8.576856	2.8415255	AT4G04180	Cre17.g726150
kfl00286_0090	22.963864	9.3092625	AT2G20340	Cre01.g028423
kfl00289_0100	10.256313	3.2245685	NA	Cre12.g500400
kfl00291_0160	70.7929	21.826793	AT3G26060	Cre02.g095069
kfl00294_0010	6.4436565	1.666547	AT1G26340	Cre03.g180300
kfl00294_0060	19.655179	3.580005	AT1G48170	Cre04.g216300
kfl00294_0090	12.1478825	2.499824	AT4G21540	Cre12.g530550
kfl00295_0110	25.9800485	8.9543725	AT2G19570	Cre13.g570550
kfl00301_0060	66.4014455	16.0979015	AT4G19390	NA
