kfl00001_0060	Cre12.g484700
kfl00006_0590	Cre01.g012150
kfl00006_0600	Cre01.g055408
kfl00006_0670	Cre03.g144184
kfl00006_0680	Cre06.g296100
kfl00006_0700	Cre17.g731150
kfl00006_0710	Cre06.g269450
kfl00006_0720	Cre03.g170800
kfl00006_0730	Cre01.g018900
kfl00006_0740	Cre09.g399589
kfl00006_0780	Cre03.g175500
kfl00006_0800	Cre16.g692751
kfl00006_0820	Cre09.g388550
kfl00006_0830	Cre08.g383150
kfl00006_0860	Cre13.g607450
kfl00006_0870	Cre07.g331250
kfl00006_0890	Cre06.g296100
kfl00006_0900	Cre08.g368900
kfl00006_0920	Cre01.g004450
kfl00006_0950	Cre01.g045850
kfl00007_0020	Cre06.g268550
kfl00007_0060	Cre13.g566900
kfl00007_0090	Cre01.g012450
kfl00007_0100	Cre01.g012450
kfl00007_0120	Cre05.g231100
kfl00007_0130	Cre11.g481050
kfl00007_0140	Cre16.g674550
kfl00007_0150	Cre17.g706900
kfl00007_0160	Cre10.g439400
kfl00007_0170	Cre17.g706900
kfl00007_0180	Cre17.g706900
kfl00007_0220	Cre06.g280350
kfl00007_0250	Cre12.g484300
kfl00007_0260	Cre01.g012450
kfl00007_0280	Cre03.g211633
kfl00007_0290	Cre03.g211633
kfl00007_0300	Cre03.g211633
kfl00007_0310	Cre02.g091700
kfl00007_0320	Cre16.g651923
kfl00007_0340	Cre16.g680454
kfl00007_0350	Cre04.g216050
kfl00007_0370	Cre03.g168050
kfl00007_0390	Cre12.g502800
kfl00007_0400	Cre09.g389541
kfl00007_0410	Cre08.g363700
kfl00007_0420	Cre13.g576400
kfl00007_0430	Cre12.g561450
kfl00007_0440	Cre12.g532050
kfl00007_0445	Cre17.g741150
kfl00007_0450	Cre06.g278219
kfl00007_0480	Cre08.g375150
kfl00007_0490	Cre07.g319500
kfl00007_0520	Cre10.g422450
kfl00007_0560	Cre02.g095139
kfl00007_0570	Cre06.g253975
kfl00007_0580	Cre13.g567050
kfl00007_0590	Cre17.g704400
kfl00007_0600	Cre17.g719900
kfl00007_0610	Cre11.g467642
kfl00007_0615	Cre12.g502901
kfl00007_0620	Cre17.g730200
kfl00007_0630	Cre14.g619900
kfl00008_0020	Cre06.g248950
kfl00008_0030	Cre13.g603950
kfl00008_0040	Cre13.g585850
kfl00008_0070	Cre06.g302700
kfl00008_0080	Cre06.g298100
kfl00008_0090	Cre09.g386400
kfl00008_0100	Cre06.g291250
kfl00008_0120	Cre02.g118500
kfl00008_0140	Cre04.g216050
kfl00008_0160	Cre08.g364000
kfl00008_0170	Cre03.g192050
kfl00008_0180	Cre13.g569850
kfl00008_0190	Cre08.g372900
kfl00008_0200	Cre12.g512300
kfl00008_0210	Cre17.g717350
kfl00008_0240	Cre10.g449750
kfl00008_0250	Cre07.g314450
kfl00008_0270	Cre08.g358540
kfl00008_0280	Cre03.g197400
kfl00008_0300	Cre17.g729650
kfl00008_0320	Cre10.g454650
kfl00008_0340	Cre12.g522900
kfl00008_0350	Cre01.g012400
kfl00008_0360	Cre17.g725200
kfl00008_0410	Cre16.g679800
kfl00008_0420	Cre13.g567901
kfl00008_0440	Cre10.g447550
kfl00008_0450	Cre16.g684350
kfl00008_0470	Cre06.g278135
kfl00008_0500	Cre16.g664450
kfl00008_0510	Cre12.g558000
kfl00008_0520	Cre06.g262700
kfl00008_0530	Cre17.g724600
kfl00008_0550	Cre03.g197400
kfl00008_0560	Cre04.g224500
kfl00008_0580	Cre07.g321350
kfl00009_0030	Cre02.g095117
kfl00009_0050	Cre13.g572200
kfl00009_0070	Cre12.g485000
kfl00009_0080	Cre06.g251750
kfl00009_0090	Cre16.g664500
kfl00009_0100	Cre09.g387100
kfl00009_0110	Cre17.g746347
kfl00009_0120	Cre01.g051950
kfl00009_0140	Cre10.g429300
kfl00009_0150	Cre04.g216050
kfl00009_0160	Cre13.g588600
kfl00009_0200	Cre01.g047650
kfl00009_0220	Cre01.g008150
kfl00009_0230	Cre03.g144807
kfl00009_0250	Cre08.g369500
kfl00009_0260	Cre02.g144350
kfl00009_0270	Cre17.g705400
kfl00009_0280	Cre07.g350750
kfl00009_0290	Cre03.g145727
kfl00009_0310	Cre09.g390750
kfl00009_0320	Cre16.g668550
kfl00009_0390	Cre07.g332500
kfl00009_0420	Cre12.g514750
kfl00009_0450	Cre12.g505200
kfl00009_0460	Cre10.g439400
kfl00009_0480	Cre13.g579550
kfl00009_0500	Cre16.g687900
kfl00009_0510	Cre06.g283050
kfl00009_0520	Cre12.g498500
kfl00009_0540	Cre06.g297400
kfl00009_0550	Cre01.g056331
kfl00009_0560	Cre10.g437150
kfl00009_0570	Cre09.g388319
kfl00009_0590	Cre02.g102600
kfl00009_0600	Cre02.g104600
kfl00009_0620	Cre16.g649800
kfl00009_0640	Cre16.g649800
kfl00009_0660	Cre08.g384700
kfl00009_0670	Cre12.g511400
kfl00009_0720	Cre12.g560350
kfl00009_0730	Cre12.g522600
kfl00009_0740	Cre17.g699900
kfl00009_0750	Cre09.g395650
kfl00009_0760	Cre01.g001750
kfl00009_0780	Cre12.g511400
kfl00010_0030	Cre03.g172250
kfl00010_0040	Cre17.g719771
kfl00010_0050	Cre09.g406750
kfl00010_0080	Cre02.g142266
kfl00010_0100	Cre12.g536000
kfl00010_0110	Cre10.g463150
kfl00010_0115	Cre10.g463150
kfl00010_0120	Cre13.g588250
kfl00010_0140	Cre04.g227900
kfl00010_0150	Cre10.g427250
kfl00010_0160	Cre10.g454700
kfl00010_0170	Cre02.g092350
kfl00010_0220	Cre06.g285401
kfl00010_0230	Cre17.g700200
kfl00010_0280	Cre12.g508150
kfl00010_0300	Cre14.g614151
kfl00010_0320	Cre13.g584200
kfl00010_0330	Cre06.g272400
kfl00010_0340	Cre12.g496750
kfl00010_0350	Cre17.g742500
kfl00010_0360	Cre08.g383650
kfl00010_0400	Cre17.g741150
kfl00010_0450	Cre01.g004350
kfl00010_0470	Cre17.g719250
kfl00010_0490	Cre12.g535900
kfl00010_0500	Cre06.g261400
kfl00010_0510	Cre15.g636800
kfl00010_0530	Cre07.g319320
kfl00010_0550	Cre16.g655450
kfl00010_0590	Cre02.g084300
kfl00010_0620	Cre12.g559050
kfl00010_0650	Cre14.g616200
kfl00010_0680	Cre12.g488000
kfl00011_0020	Cre12.g514200
kfl00011_0060	Cre06.g275450
kfl00011_0065	Cre16.g659400
kfl00011_0080	Cre10.g422050
kfl00011_0090	Cre13.g571200
kfl00011_0100	Cre16.g677382
kfl00011_0110	Cre11.g467559
kfl00011_0120	Cre09.g416100
kfl00011_0140	Cre12.g492350
kfl00011_0150	Cre14.g627350
kfl00011_0170	Cre12.g489050
kfl00011_0270	Cre16.g691750
kfl00011_0290	Cre12.g504350
kfl00011_0350	Cre07.g330050
kfl00011_0370	Cre17.g715300
kfl00011_0400	Cre05.g244000
kfl00011_0410	Cre10.g444900
kfl00011_0430	Cre04.g231516
kfl00011_0445	Cre12.g492350
kfl00011_0480	Cre12.g492350
kfl00012_0020	Cre13.g570150
kfl00012_0030	Cre01.g033300
kfl00012_0050	Cre09.g396252
kfl00012_0060	Cre03.g144707
kfl00012_0080	Cre07.g314150
kfl00012_0090	Cre09.g417150
kfl00012_0100	Cre06.g278221
kfl00012_0110	Cre12.g524650
kfl00012_0120	Cre11.g479700
kfl00012_0130	Cre17.g732050
kfl00012_0140	Cre04.g227350
kfl00012_0150	Cre09.g416200
kfl00012_0160	Cre09.g389550
kfl00012_0170	Cre02.g075650
kfl00012_0180	Cre01.g050550
kfl00012_0200	Cre12.g538100
kfl00012_0230	Cre04.g215800
kfl00012_0240	Cre03.g189700
kfl00012_0250	Cre12.g542950
kfl00012_0260	Cre11.g467591
kfl00012_0280	Cre10.g426000
kfl00012_0290	Cre12.g532350
kfl00012_0300	Cre14.g620850
kfl00012_0310	Cre06.g284750
kfl00012_0320	Cre12.g532050
kfl00012_0330	Cre14.g620850
kfl00012_0340	Cre10.g436150
kfl00012_0360	Cre09.g415650
kfl00012_0380	Cre03.g189950
kfl00012_0400	Cre07.g339000
kfl00012_0410	Cre16.g691500
kfl00012_0430	Cre04.g222700
kfl00012_0460	Cre12.g486209
kfl00012_0480	Cre17.g720350
kfl00012_0490	Cre01.g055465
kfl00012_0440	Cre14.g631950
kfl00012_0510	Cre02.g105050
kfl00012_0550	Cre13.g572850
kfl00012_0580	Cre12.g540500
kfl00012_0590	Cre03.g145607
kfl00012_0600	Cre06.g298350
kfl00012_0620	Cre06.g298350
kfl00012_0630	Cre02.g120150
kfl00013_0020	Cre06.g279850
kfl00013_0040	Cre17.g698365
kfl00013_0060	Cre01.g047700
kfl00013_0080	Cre03.g148150
kfl00013_0090	Cre03.g176500
kfl00013_0100	Cre10.g425950
kfl00013_0110	Cre17.g729900
kfl00013_0120	Cre13.g606600
kfl00013_0150	Cre08.g362450
kfl00013_0160	Cre11.g467567
kfl00013_0170	Cre11.g467567
kfl00013_0180	Cre11.g467567
kfl00013_0185	Cre11.g467567
kfl00013_0210	Cre01.g015050
kfl00013_0220	Cre10.g444450
kfl00013_0230	Cre17.g727600
kfl00013_0240	Cre12.g546900
kfl00013_0260	Cre03.g194100
kfl00013_0290	Cre05.g234550
kfl00013_0300	Cre12.g488250
kfl00013_0310	Cre04.g217921
kfl00013_0320	Cre01.g029850
kfl00013_0330	Cre12.g549450
kfl00013_0350	Cre17.g730600
kfl00013_0360	Cre06.g270500
kfl00013_0370	Cre17.g739450
kfl00013_0380	Cre10.g420800
kfl00013_0400	Cre01.g002400
kfl00013_0410	Cre09.g412803
kfl00013_0420	Cre09.g390875
kfl00013_0430	Cre07.g353950
kfl00013_0460	Cre05.g237450
kfl00013_0470	Cre11.g479850
kfl00013_0510	Cre01.g033763
kfl00013_0520	Cre17.g705000
kfl00013_0540	Cre13.g607500
kfl00013_0580	Cre06.g294550
kfl00013_0610	Cre07.g315750
kfl00013_0620	Cre09.g396735
kfl00013_0630	Cre04.g231516
kfl00013_0640	Cre16.g694800
kfl00014_0010	Cre03.g194100
kfl00014_0030	Cre17.g704400
kfl00014_0040	Cre03.g199871
kfl00014_0060	Cre16.g663350
kfl00014_0070	Cre13.g567800
kfl00014_0100	Cre03.g199647
kfl00014_0110	Cre06.g287000
kfl00014_0140	Cre03.g155051
kfl00014_0150	Cre12.g543450
kfl00014_0160	Cre03.g193350
kfl00014_0200	Cre16.g663850
kfl00014_0230	Cre10.g422300
kfl00014_0240	Cre03.g172200
kfl00014_0250	Cre10.g422300
kfl00014_0260	Cre12.g542150
kfl00014_0270	Cre16.g688302
kfl00014_0290	Cre03.g185050
kfl00014_0300	Cre16.g694202
kfl00014_0310	Cre02.g105287
kfl00014_0330	Cre06.g278202
kfl00014_0340	Cre12.g515450
kfl00014_0380	Cre03.g188700
kfl00014_0390	Cre07.g320800
kfl00014_0400	Cre16.g654300
kfl00014_0410	Cre01.g008850
kfl00014_0440	Cre02.g110950
kfl00014_0460	Cre03.g169650
kfl00014_0480	Cre03.g189800
kfl00014_0520	Cre03.g197550
kfl00014_0530	Cre19.g751197
kfl00014_0550	Cre06.g300850
kfl00014_0570	Cre10.g446500
kfl00014_0590	Cre10.g450850
kfl00014_0600	Cre12.g561200
kfl00014_0610	Cre01.g002201
kfl00014_0630	Cre06.g279250
kfl00014_0640	Cre03.g158200
kfl00014_0650	Cre03.g158200
kfl00014_0660	Cre10.g439200
kfl00014_0690	Cre02.g113700
kfl00014_0700	Cre02.g075250
kfl00015_0030	Cre01.g053450
kfl00015_0070	Cre01.g010350
kfl00015_0100	Cre16.g656400
kfl00015_0110	Cre12.g523000
kfl00015_0120	Cre14.g629920
kfl00015_0160	Cre03.g182450
kfl00015_0180	Cre05.g235400
kfl00015_0210	Cre01.g040500
kfl00015_0220	Cre01.g016750
kfl00015_0230	Cre08.g382545
kfl00015_0240	Cre13.g571200
kfl00015_0250	Cre17.g707050
kfl00015_0260	Cre02.g089311
kfl00015_0270	Cre02.g144002
kfl00015_0290	Cre10.g435500
kfl00015_0300	Cre09.g386732
kfl00015_0310	Cre04.g216050
kfl00015_0320	Cre09.g386732
kfl00015_0330	Cre08.g361400
kfl00015_0340	Cre05.g246300
kfl00015_0350	Cre17.g720050
kfl00015_0370	Cre03.g199871
kfl00015_0380	Cre07.g328850
kfl00015_0390	Cre12.g557300
kfl00015_0400	Cre03.g168500
kfl00015_0410	Cre01.g055408
kfl00015_0420	Cre16.g654700
kfl00015_0460	Cre02.g104300
kfl00015_0470	Cre16.g676350
kfl00015_0490	Cre12.g532050
kfl00015_0500	Cre12.g517400
kfl00015_0510	Cre14.g614750
kfl00016_0010	Cre03.g205050
kfl00016_0020	Cre17.g699900
kfl00016_0030	Cre05.g245701
kfl00016_0050	Cre08.g378150
kfl00016_0060	Cre01.g002300
kfl00016_0070	Cre02.g083354
kfl00016_0080	Cre12.g537550
kfl00016_0090	Cre10.g464100
kfl00016_0100	Cre06.g278197
kfl00016_0110	Cre06.g256750
kfl00016_0130	Cre12.g532050
kfl00016_0150	Cre05.g234639
kfl00016_0160	Cre02.g075050
kfl00016_0170	Cre09.g396350
kfl00016_0180	Cre06.g281200
kfl00016_0190	Cre02.g103350
kfl00016_0230	Cre08.g376500
kfl00016_0240	Cre12.g512300
kfl00016_0260	Cre16.g672600
kfl00016_0270	Cre06.g270150
kfl00016_0280	Cre19.g751347
kfl00016_0290	Cre05.g248500
kfl00016_0300	Cre04.g223800
kfl00016_0320	Cre12.g502250
kfl00016_0330	Cre05.g238250
kfl00016_0350	Cre16.g684600
kfl00016_0360	Cre16.g665400
kfl00016_0370	Cre05.g239250
kfl00016_0380	Cre12.g556250
kfl00016_0390	Cre07.g318800
kfl00016_0400	Cre12.g486209
kfl00016_0410	Cre06.g302200
kfl00016_0440	Cre02.g075150
kfl00016_0450	Cre04.g213450
kfl00016_0470	Cre07.g353450
kfl00016_0480	Cre04.g213652
kfl00016_0490	Cre12.g559555
kfl00016_0535	Cre17.g704400
kfl00016_0540	Cre06.g278210
kfl00017_0010	Cre10.g441400
kfl00017_0020	Cre16.g661150
kfl00017_0040	Cre01.g020264
kfl00017_0050	Cre07.g348100
kfl00017_0060	Cre14.g626700
kfl00017_0080	Cre02.g101850
kfl00017_0090	Cre09.g391986
kfl00017_0100	Cre09.g413650
kfl00017_0110	Cre12.g548200
kfl00017_0130	Cre06.g278089
kfl00017_0150	Cre03.g205650
kfl00017_0200	Cre02.g116900
kfl00017_0210	Cre12.g486900
kfl00017_0220	Cre07.g344050
kfl00017_0230	Cre07.g328150
kfl00017_0240	Cre02.g093450
kfl00017_0250	Cre09.g397068
kfl00017_0270	Cre06.g296950
kfl00017_0280	Cre09.g415450
kfl00017_0290	Cre02.g099300
kfl00017_0320	Cre08.g371052
kfl00017_0330	Cre08.g371052
kfl00017_0340	Cre08.g370850
kfl00017_0350	Cre03.g197900
kfl00017_0360	Cre07.g318600
kfl00017_0370	Cre06.g285150
kfl00017_0380	Cre07.g315750
kfl00017_0390	Cre06.g267850
kfl00017_0420	Cre11.g477200
kfl00017_0430	Cre17.g741150
kfl00017_0440	Cre16.g687200
kfl00017_0450	Cre16.g662200
kfl00017_0460	Cre11.g467567
kfl00017_0470	Cre17.g724600
kfl00017_0480	Cre03.g192850
kfl00017_0490	Cre01.g002200
kfl00017_0510	Cre09.g395843
kfl00017_0520	Cre06.g301450
kfl00017_0530	Cre12.g492450
kfl00017_0540	Cre01.g031050
kfl00017_0560	Cre10.g425050
kfl00017_0570	Cre12.g538950
kfl00017_0590	Cre03.g169700
kfl00017_0600	Cre11.g477200
kfl00017_0610	Cre11.g477200
kfl00018_0020	Cre09.g398141
kfl00018_0030	Cre09.g398141
kfl00018_0050	Cre03.g160450
kfl00018_0070	Cre07.g354400
kfl00018_0075	Cre16.g648200
kfl00018_0080	Cre02.g095098
kfl00018_0090	Cre03.g199423
kfl00018_0100	Cre07.g350550
kfl00018_0110	Cre09.g394350
kfl00018_0120	Cre16.g675246
kfl00018_0140	Cre17.g716101
kfl00018_0150	Cre17.g729250
kfl00018_0160	Cre16.g650200
kfl00018_0180	Cre03.g155001
kfl00018_0190	Cre10.g441750
kfl00018_0200	Cre17.g732050
kfl00018_0210	Cre12.g483650
kfl00018_0220	Cre17.g741200
kfl00018_0230	Cre11.g467569
kfl00018_0240	Cre18.g748397
kfl00018_0250	Cre03.g144947
kfl00018_0270	Cre12.g507559
kfl00018_0290	Cre05.g233100
kfl00018_0300	Cre07.g325724
kfl00018_0330	Cre01.g015600
kfl00018_0340	Cre04.g214690
kfl00018_0370	Cre01.g032500
kfl00018_0380	Cre03.g145547
kfl00018_0390	Cre11.g475400
kfl00018_0410	Cre11.g468750
kfl00018_0420	Cre06.g278163
kfl00018_g47	Cre16.g685277
kfl00018_0430	Cre03.g199311
kfl00018_0440	Cre06.g278111
kfl00018_0450	Cre03.g150700
kfl00018_0460	Cre16.g673000
kfl00018_0470	Cre06.g273750
kfl00018_0480	Cre16.g691750
kfl00018_0490	Cre01.g062902
kfl00018_0500	Cre16.g655450
kfl00018_0510	Cre18.g749447
kfl00018_0520	Cre06.g305200
kfl00018_0540	Cre14.g623650
kfl00018_0545	Cre02.g095074
kfl00018_0550	Cre03.g146707
kfl00018_0590	Cre10.g444900
kfl00018_0600	Cre12.g496450
kfl00018_0610	Cre09.g407300
kfl00019_0010	Cre01.g007737
