kfl00001_0060	AT5G08060
kfl00002_0430	AT5G52210
kfl00002_0440	AT1G06690
kfl00002_0460	AT1G26660
kfl00002_0470	AT5G56900
kfl00002_0480	AT3G02870
kfl00002_0510	AT3G27290
kfl00002_0530	AT2G04030
kfl00002_0560	AT3G57810
kfl00002_0590	AT4G39830
kfl00002_0595	AT4G35540
kfl00002_0610	AT4G24140
kfl00002_0620	AT4G22756
kfl00002_0630	AT2G36810
kfl00002_0650	AT5G43860
kfl00002_0670	AT5G33320
kfl00002_0680	AT5G20600
kfl00002_0700	AT2G41500
kfl00002_0710	AT5G03370
kfl00002_0720	AT3G20060
kfl00002_0740	AT1G55860
kfl00002_0770	AT2G17820
kfl00002_0780	AT3G48800
kfl00002_0800	AT1G18260
kfl00003_0010	AT1G27320
kfl00003_0020	AT2G30520
kfl00003_0030	AT2G14255
kfl00003_0040	AT5G39950
kfl00003_0050	AT1G45150
kfl00003_0055	AT1G06560
kfl00003_0060	AT1G07040
kfl00003_0070	AT4G36195
kfl00003_0080	AT1G79200
kfl00003_0090	AT3G46200
kfl00003_0100	AT1G31770
kfl00003_0110	AT5G42620
kfl00003_0130	AT5G53580
kfl00003_0140	AT2G40620
kfl00003_0150	AT4G33590
kfl00003_0160	AT4G13250
kfl00003_0170	AT4G25170
kfl00003_0180	AT4G10150
kfl00003_0200	AT3G18930
kfl00003_0210	AT3G63170
kfl00003_0220	AT5G26700
kfl00003_0230	AT3G62020
kfl00003_0240	AT5G10630
kfl00003_0250	AT1G30680
kfl00003_0260	AT2G38710
kfl00003_0280	AT3G56070
kfl00003_0290	AT3G27380
kfl00003_0300	AT3G57050
kfl00003_0310	AT2G18790
kfl00003_0320	AT3G10380
kfl00003_0330	AT5G57035
kfl00003_0340	AT5G63620
kfl00003_0350	AT3G62810
kfl00003_0360	AT3G08720
kfl00003_0370	AT5G04510
kfl00003_0400	AT3G57620
kfl00003_0410	AT5G26700
kfl00003_0420	AT5G19580
kfl00003_0430	AT2G26200
kfl00003_0460	AT1G80700
kfl00003_0470	AT3G24590
kfl00003_0490	AT5G55810
kfl00003_0520	AT2G19160
kfl00003_0530	AT4G32720
kfl00003_0540	AT3G59980
kfl00003_0550	AT1G43690
kfl00003_0560	AT4G36790
kfl00003_0570	AT4G20140
kfl00003_0590	AT1G68010
kfl00003_0600	AT2G32640
kfl00003_0630	AT4G30490
kfl00003_0640	AT5G65760
kfl00003_0650	AT3G24290
kfl00003_0660	AT4G20140
kfl00003_0680	AT4G14780
kfl00003_0690	AT5G20140
kfl00003_0700	AT1G44446
kfl00003_0710	AT2G18950
kfl00003_0720	AT1G64970
kfl00003_0740	AT1G73650
kfl00003_0760	AT1G07745
kfl00004_0020	AT2G42780
kfl00004_0030	AT5G64816
kfl00004_0040	AT3G21290
kfl00004_0060	AT3G53590
kfl00004_0070	AT3G19180
kfl00004_0100	AT3G19430
kfl00004_0120	AT1G50410
kfl00004_0130	AT2G22420
kfl00004_0160	AT3G54650
kfl00004_0170	AT1G55535
kfl00004_0200	AT5G65780
kfl00004_0210	AT1G21065
kfl00004_0220	AT1G23740
kfl00004_0230	AT1G31410
kfl00004_0250	AT1G17410
kfl00004_0260	AT2G46560
kfl00004_0270	AT5G35630
kfl00004_0290	AT2G26780
kfl00004_0300	AT5G56680
kfl00004_0310	AT2G30000
kfl00004_0320	AT4G19100
kfl00004_0330	AT3G54440
kfl00004_0343	AT4G38470
kfl00004_0370	AT5G19200
kfl00004_0380	AT5G22750
kfl00004_0385	AT2G03800
kfl00004_0410	AT1G71340
kfl00004_0420	AT3G48170
kfl00004_0430	AT3G55270
kfl00004_0440	AT2G35100
kfl00004_0450	AT4G36090
kfl00004_0460	AT3G19430
kfl00004_0480	AT1G20575
kfl00004_0490	AT3G49650
kfl00004_0500	AT1G26380
kfl00004_0520	AT5G58370
kfl00004_0530	AT3G63460
kfl00004_0540	AT3G11964
kfl00004_0550	AT4G18240
kfl00004_0570	ATMG00860
kfl00004_0580	AT2G13370
kfl00004_0600	AT3G17920
kfl00004_0620	AT2G42210
kfl00004_0630	AT1G10510
kfl00005_0020	AT3G06670
kfl00005_0030	AT5G63100
kfl00005_0040	AT1G74070
kfl00005_0060	AT3G52180
kfl00005_0070	AT3G14080
kfl00005_0080	AT2G38480
kfl00005_0090	AT5G46030
kfl00005_0100	AT3G03750
kfl00005_0110	AT1G08190
kfl00005_0120	AT5G51110
kfl00005_0130	AT1G56130
kfl00005_0170	AT1G07645
kfl00005_0180	AT5G12430
kfl00005_g19	AT5G64270
kfl00005_0190	AT2G16860
kfl00005_0200	AT1G52290
kfl00005_0210	AT4G03280
kfl00005_0220	AT1G67210
kfl00005_0230	AT4G38020
kfl00005_0240	AT1G56130
kfl00005_0290	AT5G26820
kfl00005_0300	AT2G47760
kfl00005_0310	AT2G38280
kfl00005_0330	AT2G12646
kfl00005_0340	AT5G24850
kfl00005_0350	AT1G05490
kfl00005_0360	AT1G18600
kfl00005_0380	AT1G06720
kfl00005_0390	AT1G74850
kfl00005_0400	AT5G35525
kfl00005_0430	AT4G02790
kfl00005_0440	AT5G21070
kfl00005_0460	AT5G67320
kfl00005_0480	AT5G51020
kfl00005_0490	AT5G42000
kfl00005_0550	AT2G35480
kfl00005_0560	AT1G30825
kfl00005_0570	AT5G54130
kfl00005_0590	AT5G02830
kfl00005_0600	AT2G31740
kfl00005_0610	AT2G28900
kfl00005_0620	AT1G67680
kfl00005_0630	AT2G26650
kfl00005_0650	AT1G05410
kfl00005_0660	AT4G39080
kfl00005_0680	AT1G79500
kfl00005_0690	AT1G14360
kfl00005_0700	AT2G36840
kfl00006_0020	AT1G56060
kfl00006_0030	AT2G03820
kfl00006_0040	AT1G67430
kfl00006_0050	AT1G14310
kfl00006_0060	AT3G25805
kfl00006_0080	AT4G15490
kfl00006_0100	AT1G77680
kfl00006_0110	AT1G71990
kfl00006_0120	AT5G21930
kfl00006_0130	AT4G33520
kfl00006_0140	AT2G19740
kfl00006_0150	AT2G39990
kfl00006_0160	AT1G50300
kfl00006_0170	AT4G32690
kfl00006_0200	AT1G48660
kfl00006_0230	AT1G54870
kfl00006_0250	AT1G28100
kfl00006_0260	AT5G04440
kfl00006_0270	AT4G13200
kfl00006_0330	AT3G01660
kfl00006_0340	AT4G37470
kfl00006_0350	AT5G17710
kfl00006_0370	AT1G08390
kfl00006_0380	AT2G24820
kfl00006_0390	AT3G49990
kfl00006_0400	AT2G40010
kfl00006_0410	AT3G51650
kfl00006_0420	AT1G34355
kfl00006_0430	AT5G55760
kfl00006_0440	AT5G23080
kfl00006_0450	AT3G46960
kfl00006_0460	AT1G26940
kfl00006_0470	AT4G09320
kfl00006_0480	AT1G05460
kfl00006_0490	AT1G79350
kfl00006_0500	AT3G13330
kfl00006_0510	AT2G32970
kfl00006_0520	AT5G13210
kfl00006_0550	AT3G20050
kfl00006_0590	AT4G25130
kfl00006_0600	AT5G35930
kfl00006_0610	AT5G43400
kfl00006_0660	AT1G06660
kfl00006_0670	AT3G56290
kfl00006_0700	AT3G22845
kfl00006_0710	AT3G11400
kfl00006_0720	AT5G66170
kfl00006_0730	AT1G32340
kfl00006_0740	AT3G18940
kfl00006_0750	AT4G02440
kfl00006_0770	AT1G07645
kfl00006_0800	AT1G35620
kfl00006_0810	AT5G18540
kfl00006_0820	AT4G30930
kfl00006_0830	AT1G03150
kfl00006_0840	AT1G04985
kfl00006_0850	AT2G44130
kfl00006_0860	AT3G17770
kfl00006_0870	AT4G03200
kfl00006_0900	AT5G22800
kfl00006_0920	AT1G54520
kfl00007_0020	AT4G31590
kfl00007_0060	AT5G01630
kfl00007_0070	AT1G59600
kfl00007_0080	AT1G75140
kfl00007_0090	AT4G12570
kfl00007_0100	AT4G12570
kfl00007_0120	AT3G04710
kfl00007_0130	AT3G28730
kfl00007_0150	AT5G54250
kfl00007_0160	AT4G34880
kfl00007_0170	AT5G15410
kfl00007_0180	AT5G54250
kfl00007_0190	AT1G80090
kfl00007_0210	AT5G62600
kfl00007_0220	AT1G15440
kfl00007_0230	AT4G33840
kfl00007_0250	AT4G30390
kfl00007_0260	AT4G12570
kfl00007_0270	AT5G05130
kfl00007_0320	AT5G49555
kfl00007_0340	AT1G77290
kfl00007_0350	AT2G33170
kfl00007_0360	AT5G52370
kfl00007_0370	AT5G65630
kfl00007_0390	AT3G10530
kfl00007_0400	AT2G31890
kfl00007_0410	AT3G50690
kfl00007_0420	AT5G57850
kfl00007_0440	AT1G09440
kfl00007_0445	AT2G33170
kfl00007_0450	AT4G15830
kfl00007_0470	AT1G73390
kfl00007_0480	AT3G04470
kfl00007_0490	AT5G44070
kfl00007_0520	AT1G60470
kfl00007_0530	AT2G28100
kfl00007_0550	AT1G07540
kfl00007_0600	AT5G26570
kfl00007_0610	AT1G17230
kfl00007_0615	AT2G26330
kfl00007_0620	AT1G29260
kfl00007_0630	AT5G51880
kfl00008_0020	AT4G24560
kfl00008_0030	AT4G17070
kfl00008_0040	AT4G16710
kfl00008_0050	AT1G53920
kfl00008_0060	AT1G54790
kfl00008_0070	AT3G18730
kfl00008_0080	AT4G27130
kfl00008_0090	AT5G06460
kfl00008_0100	AT1G26300
kfl00008_0120	AT1G52360
kfl00008_0140	AT2G26330
kfl00008_0150	AT4G03100
kfl00008_0160	AT5G05970
kfl00008_0180	AT2G38290
kfl00008_0190	AT1G78230
kfl00008_0200	AT3G45140
kfl00008_0210	AT5G20040
kfl00008_0220	AT2G01880
kfl00008_0240	AT4G05160
kfl00008_0250	AT5G44600
kfl00008_0260	AT3G20870
kfl00008_0270	AT1G14345
kfl00008_0280	AT1G70590
kfl00008_0290	AT3G17900
kfl00008_0300	AT5G58200
kfl00008_0310	AT4G10630
kfl00008_0320	AT5G49530
kfl00008_0340	AT5G61220
kfl00008_0350	AT2G05755
kfl00008_0360	AT1G02520
kfl00008_0410	AT1G35420
kfl00008_0420	AT1G10030
kfl00008_0450	AT3G25530
kfl00008_0460	AT1G63260
kfl00008_0470	AT1G09690
kfl00008_0500	AT2G43160
kfl00008_0510	AT3G18760
kfl00008_0520	AT5G25450
kfl00008_0530	AT3G44880
kfl00008_0540	AT3G17675
kfl00008_0550	AT1G18260
kfl00008_0560	AT3G16340
kfl00008_0580	AT5G42370
kfl00008_0590	AT2G02148
kfl00008_0600	AT2G33550
kfl00009_0020	AT5G52800
kfl00009_0030	AT5G24430
kfl00009_0050	AT5G19500
kfl00009_0080	AT3G55490
kfl00009_0090	AT2G24765
kfl00009_0100	AT5G39790
kfl00009_0110	AT3G18630
kfl00009_0120	AT5G43100
kfl00009_0140	AT5G08390
kfl00009_0150	AT5G46330
kfl00009_0160	AT1G01950
kfl00009_0190	AT2G18940
kfl00009_0200	AT1G21410
kfl00009_0220	AT3G63340
kfl00009_0230	AT5G03860
kfl00009_0250	AT1G44414
kfl00009_0260	AT5G64813
kfl00009_0270	AT5G35590
kfl00009_0280	AT4G22260
kfl00009_0290	AT2G33840
kfl00009_0310	AT2G35100
kfl00009_0320	AT3G43230
kfl00009_0330	AT4G23490
kfl00009_0350	AT3G62010
kfl00009_0360	AT4G31880
kfl00009_0390	AT1G70630
kfl00009_0410	AT1G57540
kfl00009_0420	AT2G44350
kfl00009_0450	AT5G60990
kfl00009_0460	AT4G34880
kfl00009_0470	AT5G24165
kfl00009_0480	AT1G62780
kfl00009_0500	AT3G61470
kfl00009_0510	AT3G54890
kfl00009_0520	AT5G27660
kfl00009_0530	AT3G29280
kfl00009_0540	AT4G13010
kfl00009_0550	AT3G02720
kfl00009_0560	AT5G02860
kfl00009_0570	AT3G11620
kfl00009_0590	AT5G60580
kfl00009_0600	AT3G24530
kfl00009_0620	AT1G74850
kfl00009_0640	AT5G12100
kfl00009_0660	AT4G28830
kfl00009_0670	AT5G02860
kfl00009_0690	AT3G22142
kfl00009_0700	AT3G22125
kfl00009_0720	AT3G04810
kfl00009_0730	AT1G22840
kfl00009_0740	AT1G04420
kfl00009_0760	AT5G55220
kfl00009_0780	AT5G02860
kfl00010_0030	AT5G39960
kfl00010_0040	AT2G46915
kfl00010_0050	AT2G31790
kfl00010_0060	AT4G15480
kfl00010_0070	AT5G41040
kfl00010_0080	AT3G14620
kfl00010_0090	AT1G19700
kfl00010_0100	AT1G68710
kfl00010_0110	AT5G43280
kfl00010_0115	AT5G43280
kfl00010_0130	AT2G15350
kfl00010_0140	AT5G25150
kfl00010_0150	AT4G29350
kfl00010_0160	AT2G34680
kfl00010_0170	AT1G11680
kfl00010_0200	AT1G16290
kfl00010_0210	AT4G05400
kfl00010_0250	AT1G54920
kfl00010_0260	AT1G20225
kfl00010_0280	AT3G06010
kfl00010_0300	AT3G14740
kfl00010_0320	AT5G24030
kfl00010_0330	AT5G03080
kfl00010_0340	AT1G16700
kfl00010_0360	AT4G32910
kfl00010_0380	AT5G20590
kfl00010_0390	AT3G22200
kfl00010_0400	AT1G35710
kfl00010_0450	AT1G15130
kfl00010_0460	AT3G10980
kfl00010_0470	AT4G14240
kfl00010_0490	AT2G24765
kfl00010_0510	AT5G41240
kfl00010_0530	AT1G48420
kfl00010_0550	AT2G29940
kfl00010_0590	AT2G41040
kfl00010_0620	AT2G06040
kfl00010_0650	AT5G22130
kfl00010_0660	AT2G39170
kfl00010_0680	AT3G13790
kfl00011_0020	AT1G72970
kfl00011_0050	AT3G04290
kfl00011_0060	AT2G17700
kfl00011_0065	AT4G35780
kfl00011_0080	AT5G45290
kfl00011_0090	AT1G27320
kfl00011_0100	AT4G18770
kfl00011_0110	AT1G15740
kfl00011_0120	AT3G57340
kfl00011_0140	AT2G32340
kfl00011_0150	AT1G61740
kfl00011_0170	AT2G45150
kfl00011_0270	AT4G37560
kfl00011_0280	AT4G01160
kfl00011_0290	AT1G11090
kfl00011_0320	AT2G06850
kfl00011_0330	AT4G11840
kfl00011_g38	AT5G06600
kfl00011_0360	AT3G11910
kfl00011_0400	AT4G37900
kfl00011_0410	AT2G38510
kfl00011_0430	AT4G16490
kfl00011_0440	AT5G13060
kfl00011_0445	AT1G05270
kfl00011_0460	AT2G32340
kfl00011_0480	AT2G43250
kfl00011_0490	AT4G15475
kfl00012_0020	AT3G21430
kfl00012_0030	AT1G47980
kfl00012_0040	AT1G53000
kfl00012_0050	AT3G54660
kfl00012_0060	AT5G17530
kfl00012_0080	AT3G04870
kfl00012_0090	AT1G20630
kfl00012_0100	AT1G68020
kfl00012_0110	AT5G09230
kfl00012_0120	AT1G68310
kfl00012_0130	AT2G31450
kfl00012_0140	AT5G18230
kfl00012_0150	AT5G20190
kfl00012_0160	AT3G12170
kfl00012_0170	AT1G07360
kfl00012_0180	AT5G51720
kfl00012_0190	AT2G16060
kfl00012_0200	AT5G44000
kfl00012_0240	AT3G29240
kfl00012_0250	AT1G10390
kfl00012_0260	AT1G30480
kfl00012_0280	AT3G61113
kfl00012_0290	AT4G03560
kfl00012_0300	AT5G58010
kfl00012_0310	AT1G18070
kfl00012_0320	AT1G26150
kfl00012_0330	AT2G24260
kfl00012_0340	AT2G27490
kfl00012_0350	AT1G11920
kfl00012_0355	AT2G02720
kfl00012_0370	AT4G30980
kfl00012_0380	AT4G12400
kfl00012_0390	AT5G14030
kfl00012_0400	AT4G04330
kfl00012_0410	AT4G35750
kfl00012_0420	AT1G21680
kfl00012_0430	AT5G60790
kfl00012_g51	AT1G69530
kfl00012_0460	AT2G26890
kfl00012_0480	AT1G69390
kfl00012_0490	AT1G01630
kfl00012_0440	AT1G65680
kfl00012_0510	AT5G24630
kfl00012_0580	AT1G47750
kfl00012_0590	AT5G54750
kfl00012_0600	AT1G65220
kfl00012_0620	AT5G36230
kfl00012_0630	AT5G38410
kfl00013_0015	AT5G43310
kfl00013_0020	AT2G37660
kfl00013_0030	AT1G48840
kfl00013_0050	AT5G54370
kfl00013_0060	AT1G33400
kfl00013_0080	AT3G45890
kfl00013_0090	AT1G71730
kfl00013_0100	AT1G44835
kfl00013_0110	AT4G01935
kfl00013_0120	AT3G08730
kfl00013_0140	AT5G13200
kfl00013_0150	AT1G76130
kfl00013_0160	AT4G05050
kfl00013_0170	AT4G05320
kfl00013_0180	AT4G05050
kfl00013_0185	AT4G05320
kfl00013_0200	AT4G11980
kfl00013_0210	AT1G17460
kfl00013_0230	AT1G48090
kfl00013_0240	AT1G69550
kfl00013_0260	AT5G49470
kfl00013_0290	AT2G01140
kfl00013_0300	AT3G28970
kfl00013_0310	AT4G31480
kfl00013_0320	AT3G08730
kfl00013_0330	AT4G15940
kfl00013_0340	AT4G12760
kfl00013_0350	AT4G11050
kfl00013_0360	AT4G11050
kfl00013_0370	AT5G23090
kfl00013_0390	AT4G13270
kfl00013_0400	AT4G13550
kfl00013_0410	AT3G24460
kfl00013_0430	AT1G18090
kfl00013_0460	AT5G24490
kfl00013_0470	AT1G53720
kfl00013_0480	AT2G16070
kfl00013_0490	AT2G28900
kfl00013_0500	AT5G23395
kfl00013_0510	AT3G54970
kfl00013_0520	AT5G12180
kfl00013_0530	AT5G54880
kfl00013_0540	AT1G16970
kfl00013_0580	AT5G24000
kfl00013_0610	AT1G62610
kfl00013_0620	AT5G53920
kfl00013_0630	AT2G23140
kfl00013_0640	AT3G48980
kfl00014_0010	AT3G58640
kfl00014_0020	AT3G11700
kfl00014_0030	AT5G50450
kfl00014_0060	AT5G53350
kfl00014_0070	AT4G15415
kfl00014_0080	AT5G51700
kfl00014_0090	AT4G15640
kfl00014_0100	AT3G19760
kfl00014_0110	AT2G33380
kfl00014_0130	AT3G61130
kfl00014_0140	AT3G17760
kfl00014_0150	AT5G20570
kfl00014_0160	AT2G04550
kfl00014_0170	AT2G39430
kfl00014_0200	AT4G18240
kfl00014_0220	AT2G33490
kfl00014_0230	AT3G26060
kfl00014_0240	AT3G53390
kfl00014_0250	AT3G26060
kfl00014_0270	AT1G19660
kfl00014_0300	AT4G31670
kfl00014_0310	AT5G08535
kfl00014_0320	AT3G05010
kfl00014_0330	AT3G02870
kfl00014_0340	AT1G14400
kfl00014_0360	AT1G36990
kfl00014_0390	AT4G20325
kfl00014_0400	AT1G17410
kfl00014_0410	AT5G47490
kfl00014_0440	AT1G18830
kfl00014_0460	AT2G26920
kfl00014_0480	AT3G01480
kfl00014_0490	AT4G29070
kfl00014_0510	AT3G22430
kfl00014_0520	AT1G73240
kfl00014_0530	AT2G34357
kfl00014_0540	AT5G41460
kfl00014_0550	AT1G05830
kfl00014_0560	AT4G23760
kfl00014_0570	AT1G32520
kfl00014_0580	AT5G50170
kfl00014_0590	AT5G50170
kfl00014_0600	AT1G15370
kfl00014_0610	AT5G12220
kfl00014_0630	AT1G11400
kfl00014_0640	AT5G26040
kfl00014_0650	AT5G26040
kfl00014_0660	AT5G24670
kfl00014_0690	AT2G03390
kfl00014_0700	AT2G34860
kfl00015_0020	AT3G15360
kfl00015_0030	AT5G26594
kfl00015_0040	AT1G76090
kfl00015_0050	AT2G35035
kfl00015_0060	AT1G21840
kfl00015_0070	AT1G04640
kfl00015_0080	AT1G67550
kfl00015_0100	AT4G33030
kfl00015_0110	AT5G06770
kfl00015_0120	AT3G55050
kfl00015_0160	AT3G12290
kfl00015_0170	AT2G42620
kfl00015_0180	AT5G13680
kfl00015_0210	AT1G74870
kfl00015_0220	AT1G44575
kfl00015_0230	AT4G10100
kfl00015_0240	AT2G01830
kfl00015_0250	AT5G16260
kfl00015_0270	AT1G56345
kfl00015_0280	AT1G08480
kfl00015_0290	AT4G11120
kfl00015_0310	AT2G33170
kfl00015_0330	AT2G20110
kfl00015_0340	AT3G15180
kfl00015_0350	AT3G16290
kfl00015_0380	AT1G02970
kfl00015_0390	AT3G56850
kfl00015_0400	AT1G71430
kfl00015_0410	AT5G36880
kfl00015_0420	AT4G33970
kfl00015_0430	AT3G12130
kfl00015_0470	AT3G53230
kfl00015_0490	AT2G45920
kfl00015_0500	AT5G45130
kfl00015_0510	AT2G06025
kfl00016_0010	AT3G51520
kfl00016_0020	AT1G04420
kfl00016_0030	AT3G25690
kfl00016_0050	AT3G27300
kfl00016_0060	AT2G21130
kfl00016_0070	AT5G39040
kfl00016_0080	AT3G04240
kfl00016_0090	AT1G78530
kfl00016_0100	AT1G10570
kfl00016_0110	AT4G13050
kfl00016_0130	AT4G02010
kfl00016_0140	AT3G01520
kfl00016_0150	AT3G18190
kfl00016_0160	AT3G54700
kfl00016_0170	AT1G34065
kfl00016_0180	AT4G21820
kfl00016_0190	AT5G64440
kfl00016_0230	AT1G52500
kfl00016_0240	AT3G45140
kfl00016_0270	AT4G32400
kfl00016_0280	AT5G06120
kfl00016_0290	AT1G53300
kfl00016_0300	AT1G29810
kfl00016_0320	AT5G19940
kfl00016_0330	AT3G10800
kfl00016_0350	AT1G76850
kfl00016_0360	AT4G02840
kfl00016_0370	AT1G08620
kfl00016_0390	AT1G07400
kfl00016_0400	AT2G26890
kfl00016_0410	AT3G11540
kfl00016_0430	AT3G19430
kfl00016_0440	AT4G21710
kfl00016_0450	AT2G06530
kfl00016_0460	AT3G19430
kfl00016_0470	AT3G21240
kfl00016_0480	AT5G16850
kfl00016_0490	AT1G27480
kfl00016_0535	AT2G17900
kfl00016_0540	AT1G70730
kfl00017_0010	AT1G56110
kfl00017_0020	AT1G64680
kfl00017_0040	AT3G61710
kfl00017_0050	AT2G21195
kfl00017_0060	AT1G60950
kfl00017_0070	AT1G53345
kfl00017_0080	AT5G11340
kfl00017_0090	AT1G06800
kfl00017_0100	AT3G47700
kfl00017_0110	AT1G28320
kfl00017_0150	AT2G12550
kfl00017_0170	AT3G57400
kfl00017_0190	AT2G40170
kfl00017_0200	AT2G40170
kfl00017_0210	AT5G67220
kfl00017_0220	AT5G23430
kfl00017_0230	AT1G04980
kfl00017_0240	AT2G36460
kfl00017_0270	AT4G14920
kfl00017_0280	AT3G12020
kfl00017_0290	AT2G03430
kfl00017_0320	AT2G17520
kfl00017_0330	AT2G17520
kfl00017_0340	AT2G18600
kfl00017_0350	AT3G48380
kfl00017_0360	AT1G53540
kfl00017_0370	AT4G32320
kfl00017_0380	AT3G26760
kfl00017_0390	AT2G04940
kfl00017_0420	AT1G75290
kfl00017_0430	AT3G58690
kfl00017_0440	AT4G13220
kfl00017_0450	AT2G11890
kfl00017_0460	AT1G55060
kfl00017_0470	AT4G25650
kfl00017_0480	AT1G10490
kfl00017_0490	AT5G51940
kfl00017_0500	AT5G20610
kfl00017_0510	AT2G38970
kfl00017_0530	AT2G35920
kfl00017_0540	AT4G08350
kfl00017_0560	AT5G10940
kfl00017_0570	AT1G53400
kfl00017_0580	AT1G43640
kfl00017_0590	AT5G15390
kfl00017_0600	AT1G75280
kfl00017_0610	AT1G75290
kfl00018_0020	ATMG00860
kfl00018_0050	AT2G43770
kfl00018_0060	AT3G57320
kfl00018_0070	AT1G31800
kfl00018_0075	AT3G53130
kfl00018_0080	AT3G44100
kfl00018_0090	AT5G23300
kfl00018_0100	AT4G36050
kfl00018_0110	AT1G14850
kfl00018_0120	AT4G22140
kfl00018_0140	AT1G10520
kfl00018_0150	AT2G39260
kfl00018_0160	AT2G47490
kfl00018_0170	AT4G24530
kfl00018_0180	AT1G69830
kfl00018_0190	AT3G47340
kfl00018_0200	AT2G31450
kfl00018_0210	AT5G01920
kfl00018_0220	AT5G67270
kfl00018_0230	AT4G09650
kfl00018_0240	AT1G36320
kfl00018_0250	AT5G07500
kfl00018_0270	AT5G06410
kfl00018_0290	AT3G44730
kfl00018_0300	AT2G35680
kfl00018_0330	AT1G64790
kfl00018_0340	AT2G47300
kfl00018_0360	AT4G37860
kfl00018_0370	AT4G13830
kfl00018_0380	AT5G20080
kfl00018_0390	AT1G80210
kfl00018_0400	AT5G52880
kfl00018_0410	AT3G60810
kfl00018_0420	AT3G22200
kfl00018_g47	AT5G46630
kfl00018_0430	AT2G38020
kfl00018_0440	AT4G30360
kfl00018_0450	AT2G24640
kfl00018_0460	AT2G37330
kfl00018_0470	AT1G67940
kfl00018_0480	AT4G37550
kfl00018_0490	AT5G03500
kfl00018_0500	AT1G15520
kfl00018_0510	AT1G31230
kfl00018_0520	AT1G30970
kfl00018_0540	AT4G37970
kfl00018_0545	AT2G05170
kfl00018_0550	AT2G29640
kfl00018_0570	AT5G14620
kfl00018_0580	AT5G49680
kfl00018_0590	AT5G52450
kfl00018_0600	AT1G03360
kfl00018_0610	AT3G10840
kfl00019_0010	AT2G32040
kfl00019_0020	AT3G60150
kfl00019_0050	AT2G03070
kfl00019_0060	AT3G26410
kfl00019_0070	AT4G38350
kfl00019_0090	AT5G11770
kfl00019_0100	AT5G47820
kfl00019_0110	AT3G60910
kfl00019_0120	AT2G19560
kfl00019_0130	AT3G11040
